"","name","affiliation","id_type","author_id"
"1","Scott, Anna A","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","1"
"2","Zaitchik, Ben","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-0698-0658"
"3","Waugh, Darryn W.","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-7692-2798"
"4","O’Meara, Katie","Maryland Institute College of Art, Baltimore, MD, USA","dataverse_id","2"
"5","Hickman, Clara","Maryland Institute College of Art, Baltimore, MD, USA","dataverse_id","3"
"6","Stoerkel, Sophie","Maryland Institute College of Art, Baltimore, MD, USA","dataverse_id","4"
"7","Ankarali, Mustafa M.","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-1235-5373"
"8","Long, Andrew","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","5"
"9","Bastian, Amy J.","Kennedy Krieger Institute, Baltimore, MD, USA","ORCID","0000-0001-6079-0997"
"10","Cowan,  Noah J.","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-2502-3770"
"11","Morgan, Stephen L.","Department of Sociology, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0003-2198-1381"
"12","Pally, Joel A.","Department of Sociology, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","6"
"13","Baltimore Police Department","City of Baltimore, Maryland","dataverse_id","7"
"14","Amouzou, Agbessi","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-6262-3866"
"15","Banda, Benjamin","National Statistical Office, Zomba, Malawi","dataverse_id","8"
"16","Baya, Banza","Institut National de la Statistique et de la Démographie, Ouagadougou, Ouagadougou, Burkina Faso","dataverse_id","9"
"17","Black, Robert E.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0001-9926-7984"
"18","Bryce, Jennifer","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","10"
"19","Degefie, Tedbabe","United Nations Children’s Fund (UNICEF) Ethiopia Country Office, Addis Ababa, Ethiopia","dataverse_id","11"
"20","Guiella, Georges","Institut Supérieur des Sciences de la Population, University of Ouagadougou, Ouagadougou, Burkina Faso","ORCID","0000-0001-8525-340X"
"21","Hazel, Elizabeth","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","ORCID","0000-0002-9176-3278"
"22","Heidkamp, Rebecca A.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","12"
"23","Hill, Kenneth H.","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","13"
"24","Kanyuka, Mercy","National Statistical Office, Zomba, Malawi","dataverse_id","14"
"25","Legesse, Hailemariam","United Nations Children’s Fund (UNICEF) Ethiopia Country Office, Addis Ababa, Ethiopia","ORCID","0000-0001-5086-0744"
"26","Marsh, Andrew","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","dataverse_id","15"
