"","name","url","identifier","description","published_at"
"1","JHU LIMBS Laboratory Data Archive","https://archive.data.jhu.edu/dataverse/LIMBS","LIMBS","Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","2015-06-18T13:14:35Z"
"2","Longitudinal Study of Ocular Complications of AIDS (LSOCA)","https://archive.data.jhu.edu/dataverse/LSOCA","LSOCA","Public use datasets of each LSOCA study form used for patient data collection.","2015-12-02T19:52:46Z"
"3","Professor Stephen L. Morgan Research Group","https://archive.data.jhu.edu/dataverse/Morgan_Research_Group","Morgan_Research_Group","Data and analysis code for selected social science projects led by Professor Stephen L. Morgan, Dept. of Sociology, Johns Hopkins University.","2016-03-15T20:54:30Z"
"4","Malaria ideation survey in Liberia, 2014","https://archive.data.jhu.edu/dataverse/MalariaLiberia","MalariaLiberia","","2016-07-01T15:43:33Z"
"5","Dr. Howard Katz DOE-supported projects","https://archive.data.jhu.edu/dataverse/HKatz_Rsch_Group","HKatz_Rsch_Group","Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","2016-08-02T20:16:55Z"
"6"," Rüdiger von der Heydt’s Neurophysiology of Visual Perception Lab","https://archive.data.jhu.edu/dataverse/RvonderHeydt_NeurophysVP_Lab","RvonderHeydt_NeurophysVP_Lab","Data associated with publications by the Neurophysiology of Visual Perception Lab","2016-10-20T13:29:28Z"
"7","Comparative Neural Systems and Behavioral Lab - Moss Lab","https://archive.data.jhu.edu/dataverse/MossLab","MossLab","Behavioral and neurophysiological data associated with papers published by Professor Cynthia Moss’ Lab.","2016-07-19T14:22:22Z"
"8","Baltimore Urban Temperature Network","https://archive.data.jhu.edu/dataverse/BaltimoreTemp","BaltimoreTemp","","2016-07-20T13:15:52Z"
"9","Cyber-Enabled Discovery and Innovation-Type II: First-Principles Based Control of Multi-Scale Meta-Material Assembly Processes","https://archive.data.jhu.edu/dataverse/Bevan_Multi-Scale_Meta-Material_Assembly_Processes","Bevan_Multi-Scale_Meta-Material_Assembly_Processes","This dataverse contains data associated with publications resulting from National Science Foundation grant #1124648. These studies, by Dr. Michael Bevan and co-authors, are in the discipline of chemical and biomolecular engineering.","2014-05-19T15:45:41Z"
"10","Retrospective Analysis of Nutrient and Sediment Loadings to the Chesapeake Bay: Exploration of Trends and Affecting Factors","https://archive.data.jhu.edu/dataverse/Nutrient_Sediment_Loadings_to_the_Chesapeake_Bay","Nutrient_Sediment_Loadings_to_the_Chesapeake_Bay","This dataverse contains data associated with publications resulting from Maryland Sea Grant # NA14OAR1470090 (lead PI William P. Ball). These studies are in the discipline of environmental engineering.","2014-09-22T17:49:46Z"
"11","Dr. Sharon Gerecht Lab","https://archive.data.jhu.edu/dataverse/Gerecht","Gerecht","Each study in this dataverse is the data associated with a single publication written by members of the Gerecht lab. For more on the Gercht lab see http://www.jhu.edu/chembe/gerecht/","2013-12-18T16:39:15Z"
"12","Immigrant Incorporation in East Asian Democracies (IIEAD) Project: Focus Group Interviews in Japan and South Korea","https://archive.data.jhu.edu/dataverse/IIEAD_Focus_Groups_Japan_and_South_Korea","IIEAD_Focus_Groups_Japan_and_South_Korea","The IIEAD Project, associated with a book, Immigrant Incorporation in East Asian Democracies (Cambridge University Press, 2020), contains transcripts and English translations of 16 focus groups conducted in Japan and South Korea focused on citizenship and immigration policies.","2015-03-18T17:05:10Z"
"13","Institute for International Programs (IIP)","https://archive.data.jhu.edu/dataverse/IIP","IIP","The Institute for International Programs (IIP) works with governments in low-income countries to improve maternal and child health and nutrition by supporting the generation and use of sound evidence for program design and implementation.","2015-05-18T13:11:28Z"
"14","Partnership for ICU Patient-family Engagement Research (PIPER) Proxy Activation Study","https://archive.data.jhu.edu/dataverse/PiperScience_proxy-activation","PiperScience_proxy-activation","Pilot study of a proxy activation booklet for the medical intensive care unit. We want to know if patient activation interventions can be adapted to help the friends and family members who choose to speak for incapacitated ICU patients. These friends and family members are called proxies. As a first step in this process, we conducted a Phase I study in the Medical Intensive Care Unit at Johns Hopkins Hospital, in Baltimore, Maryland. More information about this project, led by Alison E. Turnbull, DVM, MPH, PhD at Johns Hopkins University School of Medicine, can be accessed at www.piperscience.org/proxy-activation","2017-03-31T20:16:41Z"
"15","Planetary Atmospheric Dynamics Research ","https://archive.data.jhu.edu/dataverse/planetary_atmospheric_dynamics","planetary_atmospheric_dynamics","Research into planetary atmospheric dynamics carried out in the Dept. of Earth and Planetary Sciences.","2017-02-23T14:12:04Z"
"16","Viete subduction seismicity project                                                                                                                                                                     ","https://archive.data.jhu.edu/dataverse/viete_subduction_seismicity","viete_subduction_seismicity","Data associated with research on metamorphic textures and seismicity in subduction zones.","2017-11-22T19:46:19Z"
"17","Sensitivity of catchment transit times to rainfall variability under present and future climates","https://archive.data.jhu.edu/dataverse/rainfall","rainfall","This data and code were used to generate the figures in the publication “Sensitivity of catchment transit times to rainfall variability under present and future climates”.","2017-10-23T17:22:24Z"
"18","Cognitive Neurology/Neuropsychology, Implicit measures of receptive vocabulary knowledge","https://archive.data.jhu.edu/dataverse/autism_vocabulary","autism_vocabulary","Data associated with the PlosONE publication “Implicit measures of receptive vocabulary knowledge in individuals with severe autism.","2017-06-29T12:50:40Z"
"19","Concretely Annotated Wikipedia","https://archive.data.jhu.edu/dataverse/concrete","concrete","CONCRETE is a data serialization format for Natural Language Processing. This is a project supported by JHU HITCOE.","2017-07-12T18:28:44Z"
"20","NSF-CNH: Building Climate Resilience in the Blue Nile Highlands","https://archive.data.jhu.edu/dataverse/Zaitchik_ClimateResilience","Zaitchik_ClimateResilience","This project examined coupled natural-human dynamics related to environmental variability and economic development in the Blue Nile Highlands of Ethiopia.","2018-08-24T14:54:28Z"
"21","AHA Go Red for Women Study: Sex Differences in Heart Failure with Preserved Ejection Fraction (HFpEF)","https://archive.data.jhu.edu/dataverse/HeartFailure","HeartFailure","Data associated with studies evaluating sex differences in heart failure with preserved ejection fraction.","2018-08-17T13:15:48Z"
