"","dataset_id","collection_id","name","url","description","citation_html","published_at","publisher","citation","downloads"
"1","doi:10.7281/T10Z715B","BaltimoreTemp","Data associated with the publication: Intraurban Temperature Variability in Baltimore","https://doi.org/10.7281/T10Z715B","Temperature data from a low cost sensor network deployed in summer 2015 in Baltimore.","Scott, Anna A; Zaitchik, Ben; Waugh, Darryn W.; O&rsquo;Meara, Katie; Hickman, Clara; Stoerkel, Sophie, 2016, ""Data associated with the publication: Intraurban Temperature Variability in Baltimore"", <a href=""https://doi.org/10.7281/T10Z715B"" target=""_blank"">https://doi.org/10.7281/T10Z715B</a>, Johns Hopkins Research Data Repository, V2","2016-10-28T00:00:00Z","Baltimore Urban Temperature Network","Scott, Anna A; Zaitchik, Ben; Waugh, Darryn W.; O’Meara, Katie; Hickman, Clara; Stoerkel, Sophie, 2016, ""Data associated with the publication: Intraurban Temperature Variability in Baltimore"", https://doi.org/10.7281/T10Z715B, Johns Hopkins Research Data Repository, V2",30
"2","doi:10.7281/T15Q4T12","LIMBS","Data associated with publication “Walking dynamics are symmetric (enough)”","https://doi.org/10.7281/T15Q4T12","Data files and source code associated with the statistical methods and plots from the publication. From the publication abstract: Many biological phenomena such as locomotion, circadian cycles and breathing are rhythmic in nature and can be modelled as rhythmic dynamical systems. Dynamical systems modelling often involves neglecting certain characteristics of a physical system as a modelling convenience. For example, human locomotion is frequently treated as symmetric about the sagittal plane. In this work, we test this assumption by examining human walking dynamics around the steady state (limit-cycle). Here, we adapt statistical cross-validation in order to examine whether there are statistically significant asymmetries and, even if so, test the consequences of assuming bilateral symmetry anyway. Indeed, we identify significant asymmetries in the dynamics of human walking, but nevertheless show that ignoring these asymmetries results in a more consistent and predictive model. In general, neglecting evident characteristics of a system can be more than a modelling convenience—it can produce a better model.","Ankarali, Mustafa M.; Long, Andrew; Bastian, Amy J.; Cowan, Noah J., 2015, ""Data associated with publication &ldquo;Walking dynamics are symmetric (enough)&rdquo;"", <a href=""https://doi.org/10.7281/T15Q4T12"" target=""_blank"">https://doi.org/10.7281/T15Q4T12</a>, Johns Hopkins Research Data Repository, V5","2015-08-25T00:00:00Z","JHU LIMBS Laboratory Data Archive","Ankarali, Mustafa M.; Long, Andrew; Bastian, Amy J.; Cowan, Noah J., 2015, ""Data associated with publication “Walking dynamics are symmetric (enough)”"", https://doi.org/10.7281/T15Q4T12, Johns Hopkins Research Data Repository, V5",38
"3","doi:10.7281/T1J10120","Morgan_Research_Group","Data and code for the report: Ferguson, Gray, and Davis: an analysis of recorded crime incidents and arrests in Baltimore City, March 2010 through December 2015""","https://doi.org/10.7281/T1J10120","This collection includes: (1) the report and its appendices, (2) raw data files from the Baltimore Police Department downloaded from the Open Baltimore portal on February 3, 2016, and (3) an R project with associated analysis code that reproduces the key results of the report included herein: Morgan, Stephen L. and Joel A. Pally. ""Ferguson, Gray, and Davis: An Analysis of Recorded Crime Incidents and Arrests in Baltimore City, March 2010 through December 2015."" A Report Prepared for the 21st Century Cities Initiative at Johns Hopkins University. Baltimore, MD: Johns Hopkins University, 2016.","Morgan, Stephen L.; Pally, Joel A.; Baltimore Police Department, 2016, ""Data and code for the report: Ferguson, Gray, and Davis: an analysis of recorded crime incidents and arrests in Baltimore City, March 2010 through December 2015&quot;"", <a href=""https://doi.org/10.7281/T1J10120"" target=""_blank"">https://doi.org/10.7281/T1J10120</a>, Johns Hopkins Research Data Repository, V7","2016-06-15T00:00:00Z","Professor Stephen L. Morgan Research Group","Morgan, Stephen L.; Pally, Joel A.; Baltimore Police Department, 2016, ""Data and code for the report: Ferguson, Gray, and Davis: an analysis of recorded crime incidents and arrests in Baltimore City, March 2010 through December 2015"""", https://doi.org/10.7281/T1J10120, Johns Hopkins Research Data Repository, V7",92
"4","doi:10.7281/T19G5JRC","IIP","Data associated with the publication: Integrated Community Case Management of childhood illness (iCCM) project","https://doi.org/10.7281/T19G5JRC","As a part of the Catalytic Initiative to Save a Million Lives, the Integrated Community Case Management of Childhood Illness (iCCM) project sought to demonstrate that rapid scale-ups in coverage for proven interventions would lead to reductions in under-five mortality in Burkina Faso, Malawi, and Ethiopia.","Amouzou, Agbessi; Banda, Benjamin; Baya, Banza; Black, Robert E.; Bryce, Jennifer; Degefie, Tedbabe; Guiella, Georges; Hazel, Elizabeth; Heidkamp, Rebecca A.; Hill, Kenneth H.; Kanyuka, Mercy; Legesse, Hailemariam; Marsh, Andrew; Ma&iuml;ga, Abdoulaye; Mekonnen, Yared; Miller, Nathan P.; Mleme, Tiope; Moulton, Lawrence H.; Munos, Melinda; Munthali, Spy; Pearson, Luwei; Park, Lois A.; Perin, Jamie L.; Roberton, Timothy; Shaw, Bryan; Tafesse, Mengistu; Tam, Yvonne; Tiendrebeogo, Adama; Victora, Cesar G., 2015, ""Data associated with the publication: Integrated Community Case Management of childhood illness (iCCM) project"", <a href=""https://doi.org/10.7281/T19G5JRC"" target=""_blank"">https://doi.org/10.7281/T19G5JRC</a>, Johns Hopkins Research Data Repository, V8","2015-10-22T00:00:00Z","Institute for International Programs (IIP)","Amouzou, Agbessi; Banda, Benjamin; Baya, Banza; Black, Robert E.; Bryce, Jennifer; Degefie, Tedbabe; Guiella, Georges; Hazel, Elizabeth; Heidkamp, Rebecca A.; Hill, Kenneth H.; Kanyuka, Mercy; Legesse, Hailemariam; Marsh, Andrew; Maïga, Abdoulaye; Mekonnen, Yared; Miller, Nathan P.; Mleme, Tiope; Moulton, Lawrence H.; Munos, Melinda; Munthali, Spy; Pearson, Luwei; Park, Lois A.; Perin, Jamie L.; Roberton, Timothy; Shaw, Bryan; Tafesse, Mengistu; Tam, Yvonne; Tiendrebeogo, Adama; Victora, Cesar G., 2015, ""Data associated with the publication: Integrated Community Case Management of childhood illness (iCCM) project"", https://doi.org/10.7281/T19G5JRC, Johns Hopkins Research Data Repository, V8",29
"5","doi:10.7281/T1/WBR06U","HKatz_Rsch_Group","Current-voltage raw data and spectra for thiophene polymer characterization and sensing responses","https://doi.org/10.7281/T1/WBR06U","This dataset is backup information for the publication whose abstract is reproduced here. NO2-responsive polymer-based organic field-effect transistors (OFETs) are described and room-temperature detection with high sensitivity entirely from the semiconductor was achieved. Two thiophene polymers, poly(bisdodecylquaterthiophene) and poly(bisdodecylthioquaterthiophene) (PQT12 and PQTS12, respectively), were used as active layers to detect a concentration at least as low as 1 ppm NO2. The proportional on-current change of OFETs using these polymers reached over 400% for PQTS12, which is among the highest sensitivities reported for an NO2-responsive device based on an organic semiconducting film. From measurements of cyclic voltammetry and the electronic characteristics, we found that the introduction of sulfurs into the side chains induces traps in films of the PQTS12 and also decreases domain sizes, both of which could contribute to the higher sensitivity of PQTS12 to NO2 gas compared to PQT12. The ratio of responses of PQTS12 and PQT12 is higher for exposures to lower concentrations, making this parameter a means of distinguishing responses to low concentrations for extended times from exposures to high concentrations from shorter times. The responses to nonoxidizing vapors were much lower indicating good selectivity to NO2 of two polymers. This work demonstrates the capability of increasing selectivity and calibration of OFET sensors by modulating redox and aggregation properties of polymer semiconductors.","Hui, Li; Dailey, Jennifer; Kale, Tejaswini; Besar, Kalpana; Koehler, Kirsten; Katz, Howard E., 2017, ""Current-voltage raw data and spectra for thiophene polymer characterization and sensing responses"", <a href=""https://doi.org/10.7281/T1/WBR06U"" target=""_blank"">https://doi.org/10.7281/T1/WBR06U</a>, Johns Hopkins Research Data Repository, V1","2017-06-12T13:30:58Z","Dr. Howard Katz DOE-supported projects","Hui, Li; Dailey, Jennifer; Kale, Tejaswini; Besar, Kalpana; Koehler, Kirsten; Katz, Howard E., 2017, ""Current-voltage raw data and spectra for thiophene polymer characterization and sensing responses"", https://doi.org/10.7281/T1/WBR06U, Johns Hopkins Research Data Repository, V1",9
"6","doi:10.7281/T1/SP6KO3","viete_subduction_seismicity","Raw spectroscopic data from Californian rocks associated with the article 'Metamorphic records of multiple seismic cycles during subduction'","https://doi.org/10.7281/T1/SP6KO3","Large earthquakes occur in rocks undergoing high pressure/low temperature metamorphism during subduction. Rhythmic major-element zoning in garnet is a common product of such metamorphism, and one that must record a fundamental subduction process. Here we show that rhythmic major-element zoning in subduction-zone garnets from the Franciscan Complex, California developed in response to growth–dissolution cycles driven by pressure pulses. Using electron probe microanalysis and novel techniques in Raman and synchrotron Fourier transform infrared microspectroscopy, we demonstrate that at least four such pressure pulses, of magnitude 100–350 MPa, occurred over less than 300,000 years. These pressure magnitude and time scale constraints are most consistent with the garnet zoning having resulted from periodic overpressure development–dissipation cycles, related to pore-fluid pressure fluctuations linked to earthquake cycles. This study demonstrates that some metamorphic reactions can track individual earthquake cycles, and thereby opens new avenues to the study of seismicity.","Viete, Daniel R.; Hacker, Bradley R.; Allen, Mark B.; Seward, Gareth G. E.; Tobin, Mark J.; Kelley, Christopher S.; Cinque, Gianfelice; Duckworth, Andrew R., 2017, ""Raw spectroscopic data from Californian rocks associated with the article 'Metamorphic records of multiple seismic cycles during subduction'"", <a href=""https://doi.org/10.7281/T1/SP6KO3"" target=""_blank"">https://doi.org/10.7281/T1/SP6KO3</a>, Johns Hopkins Research Data Repository, V1","2017-11-22T19:46:20Z","Viete subduction seismicity project                                                                                                                                                                     ","Viete, Daniel R.; Hacker, Bradley R.; Allen, Mark B.; Seward, Gareth G. E.; Tobin, Mark J.; Kelley, Christopher S.; Cinque, Gianfelice; Duckworth, Andrew R., 2017, ""Raw spectroscopic data from Californian rocks associated with the article 'Metamorphic records of multiple seismic cycles during subduction'"", https://doi.org/10.7281/T1/SP6KO3, Johns Hopkins Research Data Repository, V1",28
"7","doi:10.7281/T1/CZZDLJ","HKatz_Rsch_Group","Current-voltage, voltage-temperature, cyclic voltammetry, morphological, and spectroscopic raw data","https://doi.org/10.7281/T1/CZZDLJ","This dataset is backup information for the publication whose abstract is reproduced here. Air stable and soluble tetrabutylammonium fluoride (TBAF), is demonstrated as an efficient n-type dopant for the conjugated polymer ClBDPPV. Electron transfer from F− anions to the π-electron deﬁcient polymer ClBDPPV through anion-π electronic interactions is strongly corroborated by the combined the results of electron spin resonance (ESR), UV-Vis-NIR and ultraviolet photoelectron spectroscopy (UPS). Doping of ClBDPPV with 25 mol% TBAF boosts electrical conductivity to up to 0.62 S cm-1, among the highest conductivities that has been reported for solution processed n-type conjugated polymers, with a thermoelectric power factor of 0.63 μW m−1 K−2 in air. Importantly, the Seebeck coefficient agrees with recently published correlations to conductivity. Moreover, the F- doped ClBDPPV shows significant air stability, maintaining the conductivity of over 0.1 S cm-1 in a thick film after exposure to air for one week, to the best of our knowledge the first report of an air stable solution processable n-doped conductive polymer with this level of conductivity. The result shows that using solution processable small-anion salts such as TBAF as a n-dopant of organic conjugated polymers possessing lower LUMO (< -4.2 eV) can open new opportunities toward high performance air stable solution processable n-type thermoelectric conjugated polymers.","Zhao, Xingang; Madan, Deepa; Cheng, Yan; Zhou, Jiawang; Li, Hui; Thon, Susanna M.; Bragg, Arthur E.; DeCoster, Mallory E.; Hopkins, Patrick E.; Katz, Howard E., 2017, ""Current-voltage, voltage-temperature, cyclic voltammetry, morphological, and spectroscopic raw data"", <a href=""https://doi.org/10.7281/T1/CZZDLJ"" target=""_blank"">https://doi.org/10.7281/T1/CZZDLJ</a>, Johns Hopkins Research Data Repository, V1","2017-06-22T13:24:47Z","Dr. Howard Katz DOE-supported projects","Zhao, Xingang; Madan, Deepa; Cheng, Yan; Zhou, Jiawang; Li, Hui; Thon, Susanna M.; Bragg, Arthur E.; DeCoster, Mallory E.; Hopkins, Patrick E.; Katz, Howard E., 2017, ""Current-voltage, voltage-temperature, cyclic voltammetry, morphological, and spectroscopic raw data"", https://doi.org/10.7281/T1/CZZDLJ, Johns Hopkins Research Data Repository, V1",6
"8","doi:10.7281/T1/YXVVML","HKatz_Rsch_Group","Current-voltage raw data, molecular weight and morphology measurement data, and spectra for thiophene polymer characterization and thermoelectric measurements","https://doi.org/10.7281/T1/YXVVML","This dataset is backup information for the publication whose abstract is reproduced here. Four p-type polymers were synthesized by modifying poly(bisdodecylquaterthiophene) (PQT12) to increase oxidizability by p-dopants. A sulfur atom is inserted between the thiophene rings and dodecyl chains, and/or 3,4-ethylenedioxy groups are appended to thiophene rings of PQT12. Doped with NOBF4, PQTS12 (with sulfur in side chains) shows conductivity of 350 S cm-1, the highest reported nonionic conductivity among films made from dopant-polymer solutions. Doped with tetrafluorotetracyanoquinodimethane (F4TCNQ), PDTDE12 (with 3,4-ethylenedioxy groups on thiophene rings) shows conductivity of 140 S cm-1. The converse combinations of polymer and dopant, and formulations using a polymer with both the sulfur and ethylenedioxy modifications showed lower conductivities. The conductivities are stable in air without extrinsic ion contributions associated with PEDOT:PSS and that cannot support sustained current or thermoelectric voltage. Efficient charge transfer, tighter π-π stacking and strong intermolecular coupling are responsible for the conductivity. Values of nontransient Seebeck coefficient and conductivity agree with empirical modeling for materials with these levels of pure hole conductivity; the power factor compares favorably with prior p-type polymers made by the alternative process of immersion of polymer films into dopant solutions. Models and conductivities point to significant mobility increases induced by dopants, on the order of 1-5 cm2 V-1 s-1, supported by field-effect transistor studies of slightly doped samples. The thermal conductivities were in the range of 0.2 ~ 0.5 W m-1 K-1, typical for conductive polymers. The results point to further enhancements that could be obtained by increasing doped polymer mobilities.","Li, Hui; Decoster, Mallory E.; Ireland, Robert M.; Song, Jian; Hopkins, Patrick E.; Katz, Howard E., 2017, ""Current-voltage raw data, molecular weight and morphology measurement data, and spectra for thiophene polymer characterization and thermoelectric measurements"", <a href=""https://doi.org/10.7281/T1/YXVVML"" target=""_blank"">https://doi.org/10.7281/T1/YXVVML</a>, Johns Hopkins Research Data Repository, V1","2017-08-16T16:55:42Z","Dr. Howard Katz DOE-supported projects","Li, Hui; Decoster, Mallory E.; Ireland, Robert M.; Song, Jian; Hopkins, Patrick E.; Katz, Howard E., 2017, ""Current-voltage raw data, molecular weight and morphology measurement data, and spectra for thiophene polymer characterization and thermoelectric measurements"", https://doi.org/10.7281/T1/YXVVML, Johns Hopkins Research Data Repository, V1",6
"9","doi:10.7281/T1/YI383C","HKatz_Rsch_Group","Current-voltage raw data for transistors and micrograph morphology images for films","https://doi.org/10.7281/T1/YI383C","This dataset is backup information for the publication whose abstract is reproduced here. Layer-by-layer deposited guanine and pentacene in organic field-effect transistors (OFETs) is introduced. Through adjusting the layer thickness ratio of guanine and pentacene, the tradeoff of two electronic parameters in OFETs, charge carrier mobility and current on/off ratio, was controlled. The charge mobility was enhanced by depositing the pentacene over and between guanine layers and by increasing the proportion of pentacene in the layer-by-layer system, while the current on/off ratio was increased via the decreased off current induced by the guanine layers. The tunable device performance was mainly ascribed to the trap and dopant neutralizing properties of the guanine layers, which would decrease the density of free hydroxyl groups in the OFETs. Furthermore, the cost of the devices could be reduced remarkably via the adoption of the low-cost guanine.","Shi, Wei; Zheng, Yifan; Taylor, Andr&eacute; D.; Yu, Junsheng; Katz, Howard E., 2017, ""Current-voltage raw data for transistors and micrograph morphology images for films"", <a href=""https://doi.org/10.7281/T1/YI383C"" target=""_blank"">https://doi.org/10.7281/T1/YI383C</a>, Johns Hopkins Research Data Repository, V1","2017-08-16T16:55:31Z","Dr. Howard Katz DOE-supported projects","Shi, Wei; Zheng, Yifan; Taylor, André D.; Yu, Junsheng; Katz, Howard E., 2017, ""Current-voltage raw data for transistors and micrograph morphology images for films"", https://doi.org/10.7281/T1/YI383C, Johns Hopkins Research Data Repository, V1",3
"10","doi:10.7281/T1/7VKY8K","HKatz_Rsch_Group","Data associated with the publication 'Nonvolatile Solid-State Charged-Polymer Gating of Topological Insulators into the Topological Insulating Regime'","https://doi.org/10.7281/T1/7VKY8K","Data tables and graphs in Igor Pro graphing software format producing figures in the associated publication. Abstract: We demonstrate the ability to reduce the carrier concentration of thin films of the topological insulator (TI) Bi2Se3 by utilizing a nonvolatile electrostatic gating via corona charging of electret polymers. Sufficient electric field can be imparted to a polymer-TI bilayer to result in significant electron density depletion, even without the continuous connection of a gate electrode or the chemical modification of the TI. We show that the Fermi level of Bi2Se3 is shifted toward the Dirac point with this method. Using terahertz spectroscopy, we find that the surface chemical potential is lowered into the bulk band gap (approximately 50 meV above the Dirac point and 170 meV below the conduction-band minimum), and it is stabilized in the intrinsic regime while enhancing electron mobility. The mobility of surface state electrons is enhanced to a value as high as approximately 1600cm2/Vs at 5 K.","Ireland, R. M.; Liang, Wu; Salehi, Maryam; Oh, Seongshik; Armitage, Norman P.; Katz, Howard E., 2018, ""Data associated with the publication 'Nonvolatile Solid-State Charged-Polymer Gating of Topological Insulators into the Topological Insulating Regime'"", <a href=""https://doi.org/10.7281/T1/7VKY8K"" target=""_blank"">https://doi.org/10.7281/T1/7VKY8K</a>, Johns Hopkins Research Data Repository, V1","2018-06-04T19:57:46Z","Dr. Howard Katz DOE-supported projects","Ireland, R. M.; Liang, Wu; Salehi, Maryam; Oh, Seongshik; Armitage, Norman P.; Katz, Howard E., 2018, ""Data associated with the publication 'Nonvolatile Solid-State Charged-Polymer Gating of Topological Insulators into the Topological Insulating Regime'"", https://doi.org/10.7281/T1/7VKY8K, Johns Hopkins Research Data Repository, V1",6
