"","full_affiliation","clean_name"
"1","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"2","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"3","Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"4","Maryland Institute College of Art, Baltimore, MD, USA","University of Maryland"
"5","Maryland Institute College of Art, Baltimore, MD, USA","University of Maryland"
"6","Maryland Institute College of Art, Baltimore, MD, USA","University of Maryland"
"7","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"8","Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"9","Kennedy Krieger Institute, Baltimore, MD, USA","Kennedy Krieger Institute"
"10","Department of Mechanical Engineering, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"11","Department of Sociology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"12","Department of Sociology, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"13","City of Baltimore, Maryland",NA
"14","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"15","National Statistical Office, Zomba, Malawi",NA
"16","Institut National de la Statistique et de la Démographie, Ouagadougou, Ouagadougou, Burkina Faso","Institut National de la Statistique et de la Démographie"
"17","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"18","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"19","United Nations Children’s Fund (UNICEF) Ethiopia Country Office, Addis Ababa, Ethiopia",NA
"20","Institut Supérieur des Sciences de la Population, University of Ouagadougou, Ouagadougou, Burkina Faso","Institut Supérieur des Sciences de la Population"
"21","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"22","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"23","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
"24","National Statistical Office, Zomba, Malawi",NA
"25","United Nations Children’s Fund (UNICEF) Ethiopia Country Office, Addis Ababa, Ethiopia",NA
"26","Department of International Health, Johns Hopkins University, Baltimore, MD, USA","Johns Hopkins University"
