"","keyword","keyword_id"
"1","16s rrna gene sequences",1
"2","1900",2
"3","2d/3d registration",3
"4","3d spatial orientation",4
"5","abiotic hydrocarbons",5
"6","access to care",6
"7","acetylcholine",7
"8","activation energy",8
"9","active case finding",9
"10","active learning",10
"11","active sensing",11
"12","acyl-biotin exchange",12
"13","adaptation",13
"14","adduct",14
"15","adipokines",15
"16","administrative geography",16
"17","adolescent",17
"18","adpkd",18
"19","advance care planning",19
"20","advocacy",20
"21","africa",21
"22","agriculture",22
"23","agro-ecological zones",23
"24","aids",24
"25","air stability",25
"26","alkylphosphonic acids",26
"27","all-polymer thermoelectric",27
"28","allograft rejection",28
"29","alternative energy",29
"30","alveolar epithelial cells",30
"31","alzheimer’s disease",31
"32","amazon",32
"33","ambipolar",33
"34","ammonia",34
"35","amorphous solids",35
"36","amyloidosis",36
"37","anesthesia",37
"38","angiogenesis",38
"39","animal locomotion",39
"40","animal models",40
"41","annotated wikipedia",41
"42","annotation",42
"43","anopheles",43
"44","antarctic circumpolar current",44
"45","antenatal care",45
"46","anthropogenic impacts",46
"47","anthropometry",47
"48","anti-forensics techniques",48
"49","antigenic drift",49
"50","applied meteorology",50
"51","aptamer",51
"52","aqueous speciation",52
"53","arctic atmospheric composition",53
"54","arrests",54
"55","arsenic",55
"56","art",56
"57","artificial intelligence",57
"58","artificial intelligence and law",58
"59","assessment",59
"60","astronomy data analysis",60
"61","ataxia",61
"62","atmosphere",62
"63","atmospheres",63
"64","atmospheric modeling",64
"65","atmospheric science",65
"66","atmospheric transport",66
"67","atomic force microscopy",67
"68","attention",68
"69","attention and memory-guided promethee (amp)",69
"70","auditory cortex",70
"71","automated training",71
"72","ayurveda",72
"73","bacterial small rna",73
"74","baltimore",74
"75","bangladesh",75
"76","bangladesh residents in japan",76
"77","bar1",77
"78","bariatric surgery",78
"79","barrier measures",79
"80","beggiatoa",80
"81","behavior",81
"82","behavioral monitoring",82
"83","behavioral neuroscience",83
"84","behavioral preference",84
"85","bias stress",85
"86","bioaugmentation",86
"87","biofilm",87
"88","biofluids",88
"89","biogeochemical model",89
"90","bioinspired materials",90
"91","biomarkers",91
"92","biomedical engineering",92
"93","bionized nanoferrite nanoparticles",93
"94","biophysics",94
"95","bioremediation",95
"96","biosensor",96
"97","biosensors",97
"98","bioturbation",98
"99","bismuth telluride",99
"100","blend",100
"101","blood vessels",101
"102","blueschist eclogite",102
"103","body weight",103
"104","borane",104
"105","brain",105
"106","brain extraction",106
"107","breast cancer metastasis",107
"108","breast development",108
"109","broad-shouldered distribution",109
"110","brownian dynamics",110
"111","burmese in korea",111
"112","business",112
"113","cable bacteria",113
"114","cag repeats",114
"115","calcium-imaging",115
"116","caledonides",116
"117","calibration",117
"118","call type",118
"119","cancer",119
"120","capacitors",120
"121","carbene",121
"122","carbene salts",122
"123","carbonate",123
"124","carbonate geochemistry",124
"125","carbonate u–pb geochronology",125
"126","cardiac",126
"127","cardiomyocyte",127
"128","cardiomyopathy",128
"129","cardiovascular disease",129
"130","cassini",130
"131","categorical",131
"132","catheter",132
"133","cd8+ t cells",133
"134","cell adhesion",134
"135","cell surface engineering",135
"136","cell tropism",136
"137","cellular broadcast range",137
"138","cerebellar ataxia",138
"139","cerebellum",139
"140","cerebral blood flow",140
"141","chagas disease",141
"142","charge density",142
"143","charge retention",143
"144","charge storage",144
"145","charge trapping",145
"146","charge traps",146
"147","chatbots",147
"148","chatgpt",148
"149","chemical engineering",149
"150","chemostasis",150
"151","chesapeake bay",151
"152","child health",152
"153","chinchilla",153
"154","chinese residents in japan",154
"155","chinese workers in korea",155
"156","chlamydia",156
"157","chlorobenzene",157
"158","chromium",158
"159","chronic chagas",159
"160","chronic widefield imaging",160
"161","circular dichroism",161
"162","circulation model",162
"163","cisplatin",163
"164","citizenship",164
"165","climate",165
"166","climate change",166
"167","climate feedbacks",167
"168","climate model",168
"169","climate science",169
"170","climate sensitivities",170
"171","clinic",171
"172","clinical risk score",172
"173","closed-loop control",173
"174","closed-loop neural control",174
"175","cloud computing",175
"176","cloud forensics",176
"177","clouds",177
"178","clumped-isotope geothermometry",178
"179","cluster",179
"180","cm2mc",180
"181","cmv",181
"182","co-transcriptional rna folding",182
"183","cognitive neurology",183
"184","cohort studies",184
"185","cohort study",185
"186","colloidal filtration",186
"187","colloids",187
"188","colonial medicine",188
"189","column breakthrough curves",189
"190","communication",190
"191","community-based",191
"192","community based",192
"193","community health workers",193
"194","community structure",194
"195","complex dopant",195
"196","computational biology",196
"197","computational models",197
"198","computed tomography",198
"199","computer-assisted intervention",199
"200","computer integrated surgery",200
"201","computer science education",201
"202","computer vision",202
"203","computing education",203
"204","conducting polymer",204
"205","conducting polymers",205
"206","conductive nanowires",206
"207","conductive polymers",207
"208","conductivity",208
"209","conjugated cores",209
"210","conjugated polymer",210
"211","conjugated polymers",211
"212","connectivity",212
"213","conowingo dam",213
"214","consent",214
"215","consumer attitudes towards healthcare",215
"216","contact metamorphism",216
"217","contrast sensitivity",217
"218","control theory",218
"219","conus",219
"220","convolutional neural networks",220
"221","cortical neurons",221
"222","cortical plasticity",222
"223","côte d’ivoire",223
"224","counterions",224
"225","county",225
"226","coupled climate variability",226
"227","covid-19",227
"228","cpr",228
"229","crime",229
"230","criticacare",230
"231","critical care",231
"232","cross-validation",232
"233","crystal growth",233
"234","crystallization",234
"235","cuff electrode stimulation",235
"236","curiosity",236
"237","curriculum",237
"238","curvature",238
"239","cyanobacteria",239
"240","cytokine",240
"241","cytomegalovirus retinitis",241
"242","data assimilation",242
"243","data forensics",243
"244","de novo learning",244
"245","decision-making",245
"246","decision by sampling",246
"247","decision field theory",247
"248","decision making",248
"249","deep fluids",249
"250","defects",250
"251","democratic republic of congo",251
"252","dendritic cell activation",252
"253","dendritic signal processing",253
"254","devices",254
"255","dew model",255
"256","diagnostic evaluation",256
"257","dichlorinated dithienylethene",257
"258","dielectric",258
"259","dielectric charge trapping",259
"260","dielectric materials",260
"261","dielectrics",261
"262","dielectrophoresis",262
"263","diet",263
"264","differentiation",264
"265","diffusion",265
"266","diffusion maps",266
"267","digital forensics",267
"268","digital materials",268
"269","dilution",269
"270","dipole-dipole interactions",270
"271","dipole-field interactions",271
"272","direct doping",272
"273","discrimination",273
"274","diversity",274
"275","dna computing",275
"276","dna crosslinkers",276
"277","dna nanotechnology",277
"278","dna nanotubes",278
"279","dntt",279
"280","domain adaptation",280
"281","domain generalization",281
"282","domain randomization",282
"283","dopants",283
"284","doping",284
"285","doping mechanism",285
"286","doubt",286
"287","drift compensation",287
"288","drosophila",288
"289","drought",289
"290","dual gate circuit",290
"291","dust",291
"292","early modern medicine",292
"293","early paleozoic",293
"294","earth system model",294
"295","earth system modeling",295
"296","earthquakes",296
"297","east asia",297
"298","ebullition",298
"299","echolocation",299
"300","economic history",300
"301","eeg",301
"302","electric field mediated colloidal self-assembly",302
"303","electrical conductivity",303
"304","electrical properties and parameter",304
"305","electroanalytical chemistry",305
"306","electrochemical sensor",306
"307","electrochemical sensors",307
"308","electrochemical stability",308
"309","electrochemical transistors",309
"310","electrochemistry",310
"311","electrode tracking",311
"312","electrokinetic transport",312
"313","electron mobility",313
"314","electron transfer",314
"315","electron transport",315
"316","electronic struture",316
"317","electroosmosis",317
"318","electrophoresis",318
"319","electrophysiology",319
"320","electrosensation",320
"321","emphysema",321
"322","empiric treatment",322
"323","encoding",323
"324","endothelial cells",324
"325","endothelial progenitor cells",325
"326","endovascular sensing",326
"327","energy conversion",327
"328","engineering education",328
"329","environmental contamination",329
"330","environmental history",330
"331","epidemiology",331
"332","erp",332
"333","esm2mc",333
"334","estado da índia",334
"335","estuary",335
"336","ethiopia",336
"337","ethiopians in japan",337
"338","ethnic koreans from china",338
"339","eulerian mean circulation",339
"340","event semantics",340
"341","evidence-based education",341
"342","evidence-based interventions",342
"343","exoplanet atmospheres",343
"344","exoplanet dynamics",344
"345","exoplanet evolution",345
"346","exoplanet systems",346
"347","exoplanet tides",347
"348","exoplanets",348
"349","explore-exploit tradeoff",349
"350","extracellular matrix",350
"351","eye",351
"352","eye-tracking",352
"353","facilitated diffusion",353
"354","fall risk",354
"355","family caregivers",355
"356","family planning",356
"357","feedback control",357
"358","ferguson effect",358
"359","fertility",359
"360","fever",360
"361","field-effect transistor",361
"362","field-effect transistors",362
"363","field data analysis",363
"364","field effect transistor",364
"365","figure-ground",365
"366","filipinos in japan",366
"367","filipinos in korea",367
"368","finite element analysis",368
"369","fluid dynamics",369
"370","fluoride salt",370
"371","fluoroscopy",371
"372","food systems",372
"373","foreign residents",373
"374","foreign workers",374
"375","forested watershed",375
"376","frailty",376
"377","franciscan",377
"378","free energy",378
"379","frequency regulation",379
"380","functional connectivity",380
"381","fundamental parameters of stars",381
"382","garnet zoning",382
"383","gate dielectric",383
"384","gate functionalization",384
"385","gender affirmation",385
"386","gender norms",386
"387","genes",387
"388","genome instability",388
"389","gentamicin",389
"390","geochemistry",390
"391","geochronology",391
"392","geographic information systems",392
"393","geographic information systems (gis)",393
"394","geography",394
"395","gis",395
"396","global health",396
"397","global warming",397
"398","global water cycle",398
"399","glucagon secretion",399
"400","glucagon suppression",400
"401","guanine",401
"402","h1n1",402
"403","h3n2 influenza",403
"404","habit",404
"405","hair cells",405
"406","hard sphere",406
"407","head and neck cancer",407
"408","head ct",408
"409","health communication",409
"410","health services",410
"411","health system strengthening",411
"412","health systems",412
"413","healthcare",413
"414","hearing",414
"415","heart failure with preserved ejection fraction",415
"416","heat stress",416
"417","hfq",417
"418","high-poverty schools",418
"419","high plains aquifer",419
"420","high power factor",420
"421","high seebeck coefficient",421
"422","higher-order auditory cortex",422
"423","highly branched phenylenediamine",423
"424","hip surgery",424
"425","hippo pathway",425
"426","hippocampus",426
"427","historical geography",427
"428","historical gis",428
"429","hiv",429
"430","hiv treatment continuum",430
"431","hole conductivity",431
"432","homicide",432
"433","hormone therapy",433
"434","hostility",434
"435","households",435
"436","human anatomy",436
"437","human brain",437
"438","human embryonic stem cells",438
"439","human igg",439
"440","human nasal epithelial cells",440
"441","human surveillance",441
"442","humans",442
"443","huntington’s disease",443
"444","hwagyo",444
"445","hyaluronic acid",445
"446","hydrological forecast",446
"447","hydrology",447
"448","hypoxia",448
"449","iapetus",449
"450","ideation",450
"451","identification",451
"452","identity",452
"453","il10 (interleukin 10)",453
"454","image-guided surgery",454
"455","image guidance",455
"456","imaging",456
"457","imaging informatics",457
"458","immigrant incorporation",458
"459","immigration",459
"460","immune aging",460
"461","immunocompromised",461
"462","immunology",462
"463","impurities",463
"464","in vitro adpkd model",464
"465","in vitro transcription",465
"466","incretin effect",466
"467","indian medicine",467
"468","infertility",468
"469","influenza",469
"470","influenza b virus",470
"471","informal economy",471
"472","infrared spectroscopy",472
"473","infrastructure privatization",473
"474","insect camera trap",474
"475","insulin secretion",475
"476","insulin sensitivity",476
"477","integrated community case management",477
"478","intensive care",478
"479","interface properties",479
"480","interfacial potential",480
"481","internal cognitive state",481
"482","internal states",482
"483","international health",483
"484","intracerebral hemorrhage",484
"485","intrinsically disordered protein",485
"486","ion mobility mass spectrometry",486
"487","ionic conductivity",487
"488","ionomer",488
"489","iron oxide nanoparticles",489
"490","irrigation",490
"491","isoflurane",491
"492","isopycnal mixing",492
"493","ito",493
"494","iui",494
"495","ivf",495
"496","japan",496
"497","joseonjok",497
"498","jwst spectra",498
"499","kinetics",499
"500","kongwa",500
"501","korea",501
"502","korean chinese",502
"503","koreans in japan",503
"504","labor history",504
"505","laboratory experiments",505
"506","land cover",506
"507","land surface model",507
"508","landmark detection",508
"509","language learning",509
"510","large-scale brain networks",510
"511","large eddy simulation",511
"512","lateral mixing",512
"513","lead",513
"514","learning",514
"515","learning from synthetic",515
"516","lewis acid dopants",516
"517","liberia",517
"518","limnology",518
"519","linear competing accumulators",519
"520","linear discriminant analysis",520
"521","linkage to care",521
"522","literacy",522
"523","literacy instruction",523
"524","local government",524
"525","local ownership",525
"526","local yield stress",526
"527","locomotion",527
"528","long-evans rodent",528
"529","long-term seasonal trends",529
"530","long-term trends",530
"531","long-term watershed monitoring",531
"532","long term memory formation",532
"533","low-value care",533
"534","lymphoid aggregates",534
"535","macaque",535
"536","machine learning",536
"537","macrophages",537
"538","magnetic hyperthermia",538
"539","magnetic nanoparticles",539
"540","magnetic particle imaging",540
"541","malaria",541
"542","map",542
"543","maps",543
"544","marine diagenesis",544
"545","marmoset",545
"546","marriage migrants",546
