"","ru_id","start_date"
"1",855,2016-12-29
"2",871,2016-02-28
"3",959,2016-04-15
"4",880,2016-06-09
"5",952,2016-11-23
"6",928,2016-05-24
"7",1000,2015-08-24
"8",934,2016-01-05
"9",853,2016-05-25
"10",830,2016-09-09
"11",877,2016-06-09
"12",906,2017-05-09
"13",895,2016-05-18
"14",971,2015-12-24
"15",916,2017-04-12
"16",826,2016-07-13
"17",960,2016-02-13
"18",920,2016-12-28
"19",917,2016-03-13
"20",937,2016-12-16
"21",847,2016-07-20
"22",988,2017-07-27
"23",833,2016-04-01
"24",970,2017-04-17
"25",915,2016-04-18
