"","auth_ID","ru_ID","name","orcid"
"1",1,1,"Abdullah, Omar",NA
"2",2,2,"Adams, Nicholas",NA
"3",3,3,"Afify, Ali","0000-0002-6954-5776"
"4",4,4,"Agamaite, James A.",NA
"5",5,5,"Ahm, Anne-Sofie C.","0000-0002-5142-0326"
"6",6,6,"Ahmad, Shahryar K.","0000-0002-9789-3137"
"7",7,7,"Akin, Elgin","0000-0001-8824-8809"
"8",8,8,"Al-Saloum, Noor",NA
"9",9,9,"Alexander, Clayton",NA
"10",10,10,"Ali, Hasmot","0000-0003-0044-1992"
"11",11,11,"Allard, Simon","0000-0003-0519-7036"
"12",12,12,"Allen, Mark B.","0000-0002-0656-7898"
"13",13,13,"Amouzou, Agbessi","0000-0002-6262-3866"
"14",14,14,"Anderson, Carrie M.","0000-0003-2175-3709"
"15",15,15,"Anieto, Nneoma Nonyelum",NA
"16",16,16,"Ankarali, Mustafa M.","0000-0002-1235-5373"
"17",17,17,"Appel, Lawrence J.",NA
"18",18,18,"Arend, Luke A.",NA
"19",19,19,"Arepally, Nageshwar",NA
"20",20,20,"Arhinful,  Daniel",NA
"21",21,21,"Armand, Mehran","0000-0003-1028-8303"
"22",22,22,"Armanios, Mary",NA
"23",23,23,"Armitage, Norman P.","0000-0001-7568-2059"
"24",24,24,"Arora-Williams, Keith",NA
"25",25,25,"Arroyo-Currás, Netzahualcóyotl","0000-0002-2740-6276"
"26",26,26,"Arsenault, Kristi R.","0000-0002-6830-6271"
"27",27,27,"Attaluri, Anilchandra","0000-0003-0283-1927"
"28",28,28,"Avirmed, Sodnomdargia (Anu)",NA
"29",29,29,"Awantang, Grace",NA
"30",30,30,"Ayiotis, Andrianna I.",NA
"31",31,31,"Babalola, Stella",NA
"32",32,32,"Badr, Hamada S.","0000-0002-9808-2344"
"33",33,33,"Bagger, Jonatan I.","0000-0003-3174-1613"
"34",34,34,"Bahl, Alexis","0000-0002-8575-2679"
"35",35,35,"Baik, Yeonsoo","0000-0001-7016-0438"
"36",36,36,"Baker, Kellan E.","0000-0002-9716-7936"
"37",37,37,"Bakker, Arnold","0000-0003-0417-641X"
"38",38,38,"Ball, W.B.",NA
"39",39,39,"Ball, William P.","0000-0001-5217-8108"
"40",40,40,"Ballantyne, Christie M.",NA
"41",41,41,"Ballou, Sydney","0000-0002-3053-1115"
"42",42,42,"Baltimore Police Department",NA
"43",43,43,"Banda, Benjamin",NA
"44",44,44,"Barbera-Lainez, Yolanda",NA
"45",45,45,"Bard, Jennifer Dien",NA
"46",46,46,"Barman, Ishan","0000-0003-0800-0825"
"47",47,47,"Barranta, Caelan",NA
"48",48,48,"Barrett, Brandon",NA
"49",49,49,"Barth, Erika","0000-0002-5034-1300"
"50",50,50,"Bastian, Amy J.","0000-0001-6079-0997"
"51",51,51,"Basyal, Pragyashree S.",NA
"52",52,52,"Baya, Banza",NA
"53",53,53,"Beauchene, Christine","0000-0003-0787-4520"
"54",54,54,"Beaudry, Patrick","0000-0001-8587-2729"
"55",55,55,"Becker, Naomi A.","0000-0003-0102-9713"
"56",56,56,"Beer, Michael A.","0000-0001-9955-3809"
"57",57,57,"Beltran-Villegas, Daniel J.","0000-0003-1667-3181"
"58",58,58,"Bergaoui, Karim",NA
"59",59,59,"Berhane, Leah",NA
"60",60,60,"Bersoff-Matcha, Susan J.",NA
"61",61,61,"Besar, Kalpana","0000-0002-3502-9378"
"62",62,62,"Bibic, Adnan","0000-0001-8044-2906"
"63",63,63,"Bindlish, Rajat","0000-0002-1913-0353"
"64",64,64,"Biswas, Debojyoti","0000-0003-4141-4034"
"65",65,65,"Black, Robert E.","0000-0001-9926-7984"
"66",66,66,"Blair-Stanek, Andrew","0000-0001-8547-9417"
"67",67,67,"Bond, John E.",NA
"68",68,68,"Bose, Vivek",NA
"69",69,69,"Bosley, Laura",NA
"70",70,70,"Boulay, Marc",NA
"71",71,71,"Bouwer, Edward J.",NA
"72",72,72,"Brady, Eoghan","0000-0003-0075-5406"
"73",73,73,"Bragg, Arthur E.","0000-0002-3376-5494"
"74",74,74,"Brbić, Maria","0000-0002-1120-1778"
"75",75,75,"Breault, Macauley S.","0000-0003-1327-5372"
"76",76,76,"Bregstone, Jonah",NA
"77",77,77,"Brenner, Dana C.","0000-0003-2562-5683"
"78",78,78,"Brittingham, Sarah",NA
"79",79,79,"Brooks, Bernard R.",NA
"80",80,80,"Brovarone, Alberto Vitale","0000-0001-8892-9567"
"81",81,81,"Browning-Hanson, Joseph F.","0009-0001-3109-0796"
"82",82,82,"Bryce, Jennifer",NA
"83",83,83,"Bu, Fanjun","0000-0002-9953-7347"
"84",84,84,"Buda, A.R.",NA
"85",85,85,"Budavari, Tamas","0000-0002-7034-4621"
"86",86,86,"Budde, Ryan B.","0000-0003-4381-8673"
"87",87,87,"Budoff, Matthew J.","0000-0002-9616-1946"
"88",88,88,"Burd, Irina",NA
"89",89,89,"Burdick, Jason A.","0000-0002-2006-332X"
"90",90,90,"Calhoun, Georgia",NA
"91",91,91,"Camden, Jon P.","0000-0002-6179-2692"
"92",92,92,"Carlton, Hayden","0000-0002-2249-3067"
"93",93,93,"Carter, Anabel W.","0000-0003-1431-9832"
"94",94,94,"Cebotaru, Valeriu",NA
"95",95,95,"Ceci, Doug",NA
"96",96,96,"Center for Human Nutrition",NA
"97",97,97,"Chai, Ching Sing",NA
"98",98,98,"Chang, Chia-Jung",NA
"99",99,99,"Chang, Hsien-Yen",NA
"100",100,100,"Chen, Ada Y.","0000-0003-3236-3853"
"101",101,101,"Chen, Chih-Ting",NA
"102",102,102,"Chen, Kuan-Lin",NA
"103",103,103,"Chen, Lidong",NA
"104",104,104,"Chen, Nan",NA
"105",105,105,"Chen, Yanling",NA
"106",106,106,"Cheng, Bingquing",NA
"107",107,107,"Cheng, Yan",NA
"108",108,108,"Chernenok, Mariya",NA
"109",109,109,"Chessare, Caroline M.",NA
"110",110,110,"Cheung, Alan Chi-keung","0000-0002-9013-1586"
"111",111,111,"Chib, Vikram S.","0000-0001-8810-5699"
"112",112,112,"Chintan Environmental Research and Action Group",NA
"113",113,113,"Chiu, Arlene","0000-0002-7009-4984"
"114",114,114,"Cho, Kyoung-A",NA
"115",115,115,"Chongyu, Qu",NA
"116",116,116,"Chow, Margaret R.","0000-0002-4335-0903"
"117",117,117,"Chow, Steven J.","0000-0001-5135-4747"
"118",118,118,"Chung, Erin A.","0000-0003-1058-7370"
"119",119,119,"Cinque, Gianfelice","0000-0001-6801-8010"
"120",120,120,"Cisse, Adama",NA
"121",121,121,"Clancy, Paulette","0000-0002-0468-6420"
"122",122,122,"Clark, Vincent","0000-0001-9707-8004"
"123",123,123,"Clarke, Robert","0000-0002-9278-0854"
"124",124,124,"Coderre, Emily L.",NA
"125",125,125,"Coffin, Rachel","0000-0002-5194-3055"
"126",126,126,"Cohen, Gregory S.",NA
"127",127,127,"Cornwell, Jeffrey","0000-0001-7111-2489"
"128",128,128,"Cosans, Cassandra L.","0000-0001-9121-532X"
"129",129,129,"Courtney, Susan M.","0000-0003-1469-8879"
"130",130,130,"Cowan,  Noah J.","0000-0003-2502-3770"
"131",131,131,"Cox, Andrea L.",NA
"132",132,132,"Crowley, James L.",NA
"133",133,133,"Cui, Minming","0000-0002-8985-0372"
"134",134,134,"Cullen, Kathleen E.","0000-0002-9348-0933"
"135",135,135,"Dailly-Ajavon, Patricia",NA
"136",136,136,"Damjanovic, Ana","0000-0001-7635-2705"
"137",137,137,"Daniel, Isabelle","0000-0002-1448-7919"
"138",138,138,"DeCoster, Mallory E.","0000-0002-1139-9235"
"139",139,139,"Degefie, Tedbabe",NA
"140",140,140,"Della Santina, Charles C.","0000-0002-0509-5200"
"141",141,141,"Delwiche, Kyle",NA
"142",142,142,"Demir, Alican",NA
"143",143,143,"Deng, Siming","0000-0003-3111-8629"
"144",144,144,"Dhakal, Santosh","0000-0002-4494-8608"
"145",145,145,"Dickinson, Laura E.",NA
"146",146,146,"Dikeman, Dustin",NA
"147",147,147,"Dillow, Brandon",NA
"148",148,148,"Dixon, Eryn E.",NA
"149",149,149,"Doiron, Jake","0000-0002-4584-4819"
"150",150,150,"Dominique, Nathaniel L.","0000-0002-0439-9982"
"151",151,151,"Dosso, Abdul",NA
"152",152,152,"Dowdy, David W.","0000-0003-0481-7475"
"153",153,153,"Droege, Sam","0000-0003-4393-0403"
"154",154,154,"Du, Chen","0000-0001-6161-5525"
"155",155,155,"Duan, Wenzhen","0000-0001-5933-6308"
"156",156,156,"Duckworth, Andrew R.","0000-0001-5973-0524"
"157",157,157,"Dukhanin, Vadim","0000-0002-8685-0027"
"158",158,158,"Durant, Neal D.",NA
"159",159,159,"Dziedzic, Amanda",NA
"160",160,160,"Eberle, Wolfgang","0000-0002-6115-9811"
"161",161,161,"Edge, Albert S.B.","0000-0001-8641-755X"
"162",162,162,"Edwards, Tara D.",NA
"163",163,163,"Eggen, Michael",NA
"164",164,164,"Ekowo, Lilian C.","0000-0002-1731-0879"
"165",165,165,"Eldesouki, Raghda E.","0000-0002-8860-3484"
"166",166,166,"Ellis, Hugh",NA
"167",167,167,"Elsey, Jacob","0000-0003-0936-0865"
"168",168,168,"Emeric, Erik",NA
"169",169,169,"Ermac, Ardie Bolanon",NA
"170",170,170,"Ernlund, Amanda W.","0000-0003-1113-4103"
"171",171,171,"Escribano, Benjamin","0000-0002-1432-5952"
"172",172,172,"Evans, Jared",NA
"173",173,173,"Falk, Michael L.","0000-0002-8383-4259"
"174",174,174,"Fall, Amary",NA
"175",175,175,"Fan, Huidong",NA
"176",176,176,"Fan, Xinhao","0000-0002-0773-7473"
"177",177,177,"Feed the Future Innovation Lab for Nutrition",NA
"178",178,178,"Fenstermacher, Katherine Z.","0000-0003-1139-3711"
"179",179,179,"Fenwick, Axel","0000-0002-8296-537X"
"180",180,180,"Fern, Joshua","0000-0002-4859-1298"
"181",181,181,"Fernandez Brillet, Celia","0000-0002-1267-8156"
"182",182,182,"Ferraro, Francis",NA
"183",183,183,"Fitzgerald, Zachary B.",NA
"184",184,184,"Flandinet, Laurène","0000-0001-7190-7396"
"185",185,185,"Foote, Jeremy","0000-0002-6621-6096"
"186",186,186,"Fortune, Eric S.","0000-0001-6447-5425"
"187",187,187,"Fox-Talbot, Karen","0000-0001-9397-4282"
"188",188,188,"Frechette, Joelle","0000-0001-5680-6554"
"189",189,189,"Fuerst, Bernhard",NA
"190",190,190,"Gabrielson, Kathleen","0000-0003-3901-4357"
"191",191,191,"Gale, John T.",NA
"192",192,192,"Ganley, Connor","0000-0003-3851-3218"
"193",193,193,"Gao, Anne L.",NA
"194",194,194,"Gao, Cong","0000-0001-6798-8381"
"195",195,195,"García Villa, Anayeli",NA
"196",196,196,"Gautier, Thomas","0000-0002-9794-5056"
"197",197,197,"Gayme, Dennice F.","0000-0003-0330-415X"
"198",198,198,"Gensbigler, Paul",NA
"199",199,199,"Gerecht, Sharon","0000-0002-8542-4835"
"200",200,200,"Getirana, Augusto","0000-0001-9635-7220"
"201",201,201,"Ghotbi, Reza",NA
"202",202,202,"Gidner, Sarah",NA
"203",203,203,"Ginty, David D.","0000-0001-9723-8530"
"204",204,204,"Giraldo, Diego","0000-0002-6552-3297"
"205",205,205,"Glickman, Moshe",NA
"206",206,206,"Glowatzki, Elisabeth","0000-0003-3135-658X"
"207",207,207,"Gnanadesikan, Anand","0000-0001-5784-1116"
"208",208,208,"Gohlke, Julia M.",NA
"209",209,209,"Golding, Hana",NA
"210",210,210,"Gomes, Maya L.","0000-0002-9707-350X"
"211",211,211,"Gomes, Menandro",NA
"212",212,212,"Gong, Yu-Nong","0000-0002-6799-1561"
"213",213,213,"Gonzalez-Martinez, Jorge A.","0000-0002-9936-7034"
"214",214,214,"Goodchild, Traci","0000-0001-9234-2806"
"215",215,215,"Goodwill, Patrick",NA
"216",216,216,"Gordon, Barry",NA
"217",217,217,"Gormley, Matthew R.",NA
"218",218,218,"Gracias, David H.","0000-0003-2735-4725"
"219",219,219,"Green, Ariel",NA
"220",220,220,"Grupp, Robert","0000-0003-3386-5839"
"221",221,221,"Grüttner, Cordula","0000-0002-8271-1281"
"222",222,222,"Gu, Junyao",NA
"223",223,223,"Guallar, Eliseo","0000-0002-4471-9565"
"224",224,224,"Guckenheimer, John","0000-0001-6655-7862"
"225",225,225,"Guiella, Georges","0000-0001-8525-340X"
"226",226,226,"Guo, Mengqi",NA
"227",227,227,"Guo, Xin",NA
"228",228,228,"Gutman, Julie","0000-0001-6769-7322"
"229",229,229,"Habi, Oumarou",NA
"230",230,230,"Hacker, Bradley R.",NA
"231",231,231,"Hafez, Omar A.","0000-0002-7846-9226"
"232",232,232,"Hageman, Kristin N.",NA
"233",233,233,"Hahn, Isabel","0000-0003-4580-9893"
"234",234,234,"Haith, Adrian M.","0000-0002-5658-8654"
"235",235,235,"Hall, Anthony S.",NA
"236",236,236,"Hall, Grant","0009-0006-5089-717X"
"237",237,237,"Hamer, Jacob","0000-0002-7993-4214"
"238",238,238,"Hammond, Andrew","0000-0002-1757-5009"
"239",239,239,"Han, Jinfeng","0000-0002-6140-4522"
"240",240,240,"Hand, Randal",NA
"241",241,241,"Hanjaya-Putra, Donny","0000-0002-3039-9206"
"242",242,242,"Hanley, Daniel",NA
"243",243,243,"Hanson, Lavender E.","0000-0003-2298-8382"
"244",244,244,"Hantsoo, Kalev G.","0000-0002-9334-9839"
"245",245,245,"Haque, Razi M.","0000-0003-0453-0300"
"246",246,246,"Harihar, Vinayak","0000-0002-0205-7161"
"247",247,247,"Harman, Ciaran J.","0000-0002-3185-002X"
"248",248,248,"Harris, John A.","0000-0002-7907-8139"
"249",249,249,"Hart, Joanna L.","0000-0002-4486-3057"
"250",250,250,"Harvey, Steven A","0000-0001-6936-0213"
"251",251,251,"Hashem, Mohamed D.",NA
"252",252,252,"Hazel, Elizabeth","0000-0002-9176-3278"
"253",253,253,"Hazra, Abheera",NA
"254",254,254,"He, Chao","0000-0002-6694-0965"
"255",255,255,"He, Yan",NA
"256",256,256,"Healy, Sean",NA
"257",257,257,"Heckbert, Susan R.",NA
"258",258,258,"Hegeman, Rachel","0000-0003-2869-8773"
"259",259,259,"Heidkamp, Rebecca A.",NA
"260",260,260,"Hemond, Harold",NA
"261",261,261,"Hendrickson, Zoé","0000-0003-2057-2463"
"262",262,262,"Herndon, Christopher N.","0000-0001-6004-5655"
"263",263,263,"Hickman, Clara",NA
"264",264,264,"Higgins, John A.","0000-0002-4893-4561"
"265",265,265,"Hill, Joseph A.","0000-0002-5379-1614"
"266",266,266,"Hill, Kenneth H.",NA
"267",267,267,"Hinault, Thomas","0000-0001-9939-0640"
"268",268,268,"Hinton, Amanda",NA
"269",269,269,"Ho, Chia Chi",NA
"270",270,270,"Ho, Lara S",NA
"271",271,271,"Hobbs, Benjamin F.","0000-0003-1783-3597"
"272",272,272,"Hoffman, Christina",NA
"273",273,273,"Hoffman, Kathleen",NA
"274",274,274,"Hoffmann, Christopher J.","0000-0002-9422-0519"
"275",275,275,"Holder, Chris","0000-0003-3321-5959"
"276",276,276,"Holmes, Thomas R.","0000-0002-4651-0079"
"277",277,277,"Holst, Jens J.","0000-0001-6853-3805"
"278",278,278,"Holzenberger, Nils",NA
"279",279,279,"Hoogeveen, Ron C.","0000-0003-2399-4653"
"280",280,280,"Hopkins, Patrick E.","0000-0002-3403-743X"
"281",281,281,"Hristova, Kalina","0000-0003-4274-4406"
"282",282,282,"Hu, Qin",NA
"283",283,283,"Hu, Yicheng",NA
"284",284,284,"Huang, Chien-Ming","0000-0002-6838-3701"
"285",285,285,"Huang, Jiyuan","0000-0002-5274-1068"
"286",286,286,"Hui, Li","0000-0002-3826-0735"
"287",287,287,"Hur, Jinhee","0000-0003-0968-208X"
"288",288,288,"Hussain Shuler, Marshall G.","0000-0002-1927-0970"
"289",289,289,"Hutfless, Susan",NA
"290",290,290,"Hörst, Sarah M.","0000-0003-4596-0702"
"291",291,291,"Inoue, Takanari","0000-0002-7957-7624"
"292",292,292,"Irazoqui, Pedro P.","0000-0002-4791-4593"
"293",293,293,"Ireland, R. M.",NA
"294",294,294,"Ireland, Robert M.","0000-0002-1119-6905"
"295",295,295,"Isooba, David",NA
"296",296,296,"Ivkov, Robert","0000-0002-2930-5276"
"297",297,297,"Izenberg, Noam R.","0000-0003-1629-6478"
"298",298,298,"Jackson, Susan T.","0000-0003-4266-7973"
"299",299,299,"Jaffe, Andrew E.","0000-0001-6886-1454"
"300",300,300,"Jang, Hyun-June","0000-0001-8218-2482"
"301",301,301,"Jani, Vivek P.","0000-0002-3811-4973"
"302",302,302,"Jayakumar, Ravikrishnan P.","0000-0003-4321-6816"
"303",303,303,"Jayaraman, Sahana","0000-0003-3413-2530"
"304",304,304,"Jedlicka, Anne",NA
"305",305,305,"Jefferis, Gregory S. X. E.","0000-0002-0587-9355"
"306",306,306,"Jendrichovsky, Peter",NA
"307",307,307,"Jenkins, David M.","0000-0003-2683-9157"
"308",308,308,"Jensen, Isabel M.",NA
"309",309,309,"Ji, Yuyang",NA
"310",310,310,"Jia, Mengxuan","0000-0001-9173-1084"
"311",311,311,"Jia, Sisi","0000-0002-5877-5138"
"312",312,312,"Jia, Xiaoming",NA
"313",313,313,"Jiang, Nan","0000-0002-5590-4889"
"314",314,314,"Jiménez-Avalos, Gabriel","0000-0002-0221-3208"
"315",315,315,"Jin, Lu",NA
"316",316,316,"Johns Hopkins Center for a Livable Future",NA
"317",317,317,"Jones, Gareth",NA
"318",318,318,"Joos, Olga","0000-0003-0335-4982"
"319",319,319,"Jordan, Asha K.","0000-0001-6703-9899"
"320",320,320,"Jumai’an, Eugenie",NA
"321",321,321,"KC, Angela",NA
"322",322,322,"Kaiser, Christian M.",NA
"323",323,323,"Kale, Tejaswini","0000-0001-7246-745X"
"324",324,324,"Kamara, Diarra",NA
"325",325,325,"Kamath, Vidulata",NA
"326",326,326,"Kamoga, Caleb",NA
"327",327,327,"Kang, Byunghwa","0009-0001-2615-3617"
"328",328,328,"Kanold, Patrick","0000-0002-7529-5435"
"329",329,329,"Kanyuka, Mercy",NA
"330",330,330,"Kass, David A.","0000-0003-1596-2299"
"331",331,331,"Katamba, Achilles","0000-0002-2347-4183"
"332",332,332,"Katz, Howard E.","0000-0002-3190-2475"
"333",333,333,"Katz, Joanne","0000-0002-5997-7823"
"334",334,334,"Kavran, Jennifer M.",NA
"335",335,335,"Ke, Suqi",NA
"336",336,336,"Keita, Maningbe",NA
"337",337,337,"Kelley, Christopher S.","0000-0002-7645-3861"
"338",338,338,"Kempton, Eliza M.-R.","0000-0002-1337-9051"
"339",339,339,"Kendall, Emily A.","0000-0002-0083-422X"
"340",340,340,"Kenney, William F.","0000-0002-2273-8263"
"341",341,341,"Khatry, Subarna K.",NA
"342",342,342,"Khetan, Sudhir","0000-0001-5854-8886"
"343",343,343,"Kidanu, Aklilu",NA
"344",344,344,"Killeen, Benjamin","0000-0003-2511-7929"
