"","col_id","title","pub_date","description","root_id","ds_id","n_files","downloads"
"1",1,"JHU LIMBS Laboratory Data Archive",2015-06-18,"Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","jhu","doi:10.7281/T1/4F90KQ",4,157
"2",2,"JHU LIMBS Laboratory Data Archive",2015-06-18,"Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","jhu","doi:10.7281/T1/AYTUVI",9,145
"3",3,"JHU LIMBS Laboratory Data Archive",2015-06-18,"Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","jhu","doi:10.7281/T1/BCARLC",9,92
"4",4,"JHU LIMBS Laboratory Data Archive",2015-06-18,"Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","jhu","doi:10.7281/T1/C6MCOX",7,439
"5",5,"JHU LIMBS Laboratory Data Archive",2015-06-18,"Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","jhu","doi:10.7281/T1/DX9DL8",12,385
"6",6,"JHU LIMBS Laboratory Data Archive",2015-06-18,"Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","jhu","doi:10.7281/T1/F5PD42",14,63
"7",7,"JHU LIMBS Laboratory Data Archive",2015-06-18,"Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","jhu","doi:10.7281/T1/QS3QFT",98,247
"8",8,"JHU LIMBS Laboratory Data Archive",2015-06-18,"Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","jhu","doi:10.7281/T1/THLC8N",3,11
"9",9,"JHU LIMBS Laboratory Data Archive",2015-06-18,"Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","jhu","doi:10.7281/T1/UDTJPD",10,242
"10",10,"JHU LIMBS Laboratory Data Archive",2015-06-18,"Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","jhu","doi:10.7281/T1/XTSKOW",29,1817
"11",11,"JHU LIMBS Laboratory Data Archive",2015-06-18,"Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","jhu","doi:10.7281/T15Q4T12",1,38
"12",12,"JHU LIMBS Laboratory Data Archive",2015-06-18,"Supporting data and code from selected publications and projects from the Locomotion in Mechanical and Biological Systems (LIMBS) Laboratory, studying problems in neuromechanics, locomotion, control theory, system identification, and medical robotics. Director: Noah J. Cowan, Ph.D.","jhu","doi:10.7281/T1D798BQ",4,66
"13",13,"Longitudinal Study of Ocular Complications of AIDS (LSOCA)",2015-12-02,"Public use datasets of each LSOCA study form used for patient data collection.","jhu","doi:10.7281/T1SF2T31",2,81
"14",14,"Professor Stephen L. Morgan Research Group",2016-03-15,"Data and analysis code for selected social science projects led by Professor Stephen L. Morgan, Dept. of Sociology, Johns Hopkins University.","jhu","doi:10.7281/T1J10120",1,92
"15",15,"Malaria ideation survey in Liberia, 2014",2016-07-01,"","jhu","doi:10.7281/T14Q7RW8",2,34
"16",16,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/3XLWZX",1,7
"17",17,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/7VKY8K",1,6
"18",18,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/BIJWVL",1,5
"19",19,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/BT02SS",2,5
"20",20,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/C8BCOW",6,6
"21",21,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/CRHEAH",2,8
"22",22,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/CZZDLJ",1,6
"23",23,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/K3ONN5",1,4
"24",24,"Dr. Howard Katz DOE-supported projects",2016-08-02,"Data supporting publications and grant funded (Department of Energy) projects led by Dr. Howard Katz, Dept. of Materials Science and Engineering, Johns Hopkins University","jhu","doi:10.7281/T1/KGCGBM",6,12
