"","grant_ID","ds_ID","agency_ID"
"1",1,"doi.org/10.7281/T10Z715B",4
"2",2,"doi.org/10.7281/T15Q4T12",40
"3",3,"doi.org/10.7281/T1J10120",1
"4",4,"doi.org/10.7281/T1/WBR06U",9
"5",5,"doi.org/10.7281/T1/SP6KO3",3
"6",6,"doi.org/10.7281/T1/CZZDLJ",9
"7",7,"doi.org/10.7281/T1/YXVVML",9
"8",8,"doi.org/10.7281/T1/YI383C",9
"9",9,"doi.org/10.7281/T1/7VKY8K",40
"10",10,"doi.org/10.7281/T1/TP9B4Y",31
"11",11,"doi.org/10.7281/T1/OSQSMY",33
"12",12,"doi.org/10.7281/T1/K3ONN5",9
"13",13,"doi.org/10.7281/T1/EAFMCT",52
"14",14,"doi.org/10.7281/T1/ONZHUS",47
"15",15,"doi.org/10.7281/T1/V3Z6DD",9
"16",16,"doi.org/10.7281/T1/BIJWVL",49
"17",17,"doi.org/10.7281/T1/3XLWZX",9
"18",18,"doi.org/10.7281/T1/BIJBI6",32
"19",19,"doi.org/10.7281/T1/6BHBC4",34
"20",20,"doi.org/10.7281/T1/AZE8LU",26
"21",21,"doi.org/10.7281/T1/NH6EGH",33
"22",22,"doi.org/10.7281/T1/7WS8AD",38
"23",23,"doi.org/10.7281/T1/E70MXR",53
"24",24,"doi.org/10.7281/T1/ZOW11X",40
"25",25,"doi.org/10.7281/T1/GH4EF2",40
"26",26,"doi.org/10.7281/T1/KCIPSB",40
"27",27,"doi.org/10.7281/T1/CCC69H",5
"28",28,"doi.org/10.7281/T1/4WX5QC",40
"29",29,"doi.org/10.7281/T1/SWNGEP",5
"30",30,"doi.org/10.7281/T1/EWN8ZN",40
"31",31,"doi.org/10.7281/T1/BXJT0B",31
"32",32,"doi.org/10.7281/T1/ENWXRU",40
"33",33,"doi.org/10.7281/T1/8OFLMF",40
"34",34,"doi.org/10.7281/T1/IM9BZI",40
"35",35,"doi.org/10.7281/T1/IRMGH8",11
"36",36,"doi.org/10.7281/T1RF5RZ7",40
"37",37,"doi.org/10.7281/T14Q7RW8",47
"38",38,"doi.org/10.7281/T1/FN9EH6",20
