"","grant_id","number","amount"
"1",1,NA,120000
"2",2,"0845749",10000
"3",3,NA,380000
"4",4,"DE-FG02-07ER46465",190000
"5",5,NA,450000
"6",6,"DE-FG02-07ER46465",190000
"7",7,"DE-FG02-07ER46465",370000
"8",8,"DE-FG02-07ER46465",230000
"9",9,"1308142",270000
"10",10,"NNX14AR23G",310000
"11",11,"Go Red for Women",220000
"12",12,"Office of Science, Office of Basic Energy Sciences: DEFG02-07ER46465",130000
"13",13,"AID-OAA-A-12-00058",140000
"14",14,"United States President's Emergency Plan for AIDS Relief (PEPFAR): AID-OAA-A-12-00058",460000
"15",15,"Office of Science, Basic Energy Sciences:DE-FG02-07ER46465",440000
"16",16,"DEFG02-07ER46465",2e+05
"17",17,"Office of Science, Office of Basic Energy Science: DEFG02-07ER46465",80000
"18",18,NA,430000
"19",19,"K01HL141637",140000
"20",20,"NNX16AF12G",20000
"21",21,"16SFRN27870000",140000
"22",22,"R01HL138728",3e+05
"23",23,NA,1e+05
"24",24,"Division of Chemistry: 1708245",20000
"25",25,"1708245",420000
"26",26,"1807292",320000
"27",27,NA,30000
"28",28,"1807293",340000
"29",29,"OPP1145051",280000
"30",30,"DMREF program: DMR-1728947",280000
"31",31,"Earth and Space Science Fellowship: 80NSSC18K1109",3e+05
"32",32,"ECCS Division: 1807293",1e+05
"33",33,"Division of Chemistry: 1708245",250000
"34",34,"EAR-1827669",470000
"35",35,"U01FD005942",190000
"36",36,"DMR-1308142",120000
"37",37,"AID-OAA-A-12-00058",180000
"38",38,NA,310000
"39",39,"National Eye Institute: U10EY8057",180000
"40",40,NA,430000
"41",41,NA,90000
"42",42,"GEO - 1211235",80000
"43",43,"Division of Chemistry: 1708245",410000
"44",44,NA,80000
"45",45,"AGS-1403676",350000
"46",46,"National Institute on Aging: K24AG049036",80000
"47",47,"National Institute on Aging; National Institute for Healthcare Management: K24AG049036",1e+05
"48",48,"FESD-1338814",1e+05
"49",49,"4626",340000
"50",50,"Superfund Research Program: 5R01ES024279-02",110000
"51",51,"80NSSC19K0903",420000
"52",52,"1708245",480000
"53",53,"Office of Science, Basic Energy Sciences: DEFG0207ER46465",2e+05
"54",54,"R01AI116787",20000
"55",55,"DE-SC0019344",310000
"56",56,"DE-FG02-07ER46465",250000
"57",57,"ECCS: 1807293",1e+05
"58",58,"Division of Chemistry: 1708245",460000
"59",59,"Division of Chemistry: 1708245",320000
"60",60,"Division of Chemistry: 1708245 and 2107360",360000
"61",61,NA,480000
"62",62,"Division of Chemistry: 1708245 and 2107360",150000
"63",63,"1835202",230000
"64",64,"Division of Chemistry: 1708245",240000
"65",65,"DMREF program: DMR-1728947",250000
"66",66,"NIAID: AI46271",110000
"67",67,"R01-DC005808",190000
"68",68,"20SRG3549044",420000
"69",69,"MURI-ONRBAA08-019",340000
"70",70,"OPP1131701",50000
"71",71,"K24AG049036",190000
"72",72,NA,230000
"73",73,NA,430000
"74",74,"R01ESES023029",5e+05
"75",75,"1831766",430000
"76",76,"ECCS 1807293",420000
"77",77,"NIH (K24 AG049036/NIA)",50000
"78",78,"U01AG047837, with support from the Office of Dietary Supplements",450000
"79",79,"National Institute of Biomedical Imaging and Bioengineering Trailblazer: R21 EB028505",210000
