"","auth_id","name","reg_id"
"1","1","Abdullah, Omar",1
"2","2","Adams, Nicholas",2
"3","3","Adams, Nicholas",3
"4","4","Adams, Nicholas",4
"5","0000-0002-6954-5776","Afify, Ali",5
"6","5","Agamaite, James A.",6
"7","0000-0002-5142-0326","Ahm, Anne-Sofie C.",7
"8","0000-0002-9789-3137","Ahmad, Shahryar K.",8
"9","0000-0001-8824-8809","Akin, Elgin",9
"10","0000-0001-8824-8809","Akin, Elgin",10
"11","0000-0001-8824-8809","Akin, Elgin",9
"12","0000-0001-8824-8809","Akin, Elgin",10
"13","6","Al-Saloum, Noor",11
"14","7","Alexander, Clayton",12
"15","8","Alexander, Clayton P.",13
"16","0000-0003-0044-1992","Ali, Hasmot",14
"17","0000-0003-0519-7036","Allard, Simon",15
"18","0000-0002-0656-7898","Allen, Mark B.",16
"19","0000-0002-6262-3866","Amouzou, Agbessi",17
"20","0000-0002-6262-3866","Amouzou, Agbessi",18
"21","0000-0002-6262-3866","Amouzou, Agbessi",17
"22","0000-0002-6262-3866","Amouzou, Agbessi",18
"23","0000-0003-2175-3709","Anderson, Carrie M.",19
"24","9","Anieto, Nneoma Nonyelum",20
"25","10","Ankarali, M. Mert",21
"26","0000-0002-1235-5373","Ankarali, Mustafa M.",22
"27","11","Appel, Lawrence J.",23
"28","12","Arend, Luke A.",24
"29","13","Arepally, Nageshwar",25
"30","14","Arhinful,  Daniel",NA
"31","0000-0003-1028-8303","Armand, Mehran",NA
"32","15","Armand, Mehran",NA
"33","0000-0003-1028-8303","Armand, Mehran",NA
"34","16","Armanios, Mary",NA
"35","0000-0001-7568-2059","Armitage, N. Peter",NA
"36","17","Armitage, Norman P.",NA
"37","18","Arora-Williams, Keith",NA
"38","19","Arora-Williams, Keith",NA
"39","0000-0002-2740-6276","Arroyo-Currás, Netzahualcóyotl",NA
"40","0000-0002-2740-6276","Arroyo-Currás, Netzahualcóyotl",NA
"41","0000-0002-2740-6276","Arroyo-Currás, Netzahualcóyotl",NA
"42","0000-0002-2740-6276","Arroyo-Currás, Netzahualcóyotl",NA
"43","0000-0002-2740-6276","Arroyo-Currás, Netzahualcóyotl",NA
"44","20","Arsenault, Kristi R.",NA
"45","0000-0002-6830-6271","Arsenault, Kristi R.",NA
"46","0000-0002-6830-6271","Arsenault, Kristi R.",NA
"47","0000-0003-0283-1927","Attaluri, Anilchandra",NA
"48","21","Avirmed, Sodnomdargia (Anu)",NA
"49","22","Awantang, Grace",NA
"50","23","Ayiotis, Andrianna I.",NA
"51","24","Babalola, Stella",NA
"52","25","Babalola, Stella",NA
"53","26","Babalola, Stella",NA
"54","0000-0001-6292-7790","Bader, Michael D. M.",NA
"55","0000-0002-9808-2344","Badr, Hamada S.",NA
"56","0000-0003-3174-1613","Bagger, Jonatan I.",NA
"57","0000-0002-8575-2679","Bahl, Alexis",NA
"58","0000-0002-8575-2679","Bahl, Alexis",NA
"59","0000-0001-7016-0438","Baik, Yeonsoo",NA
"60","0000-0001-7016-0438","Baik, Yeonsoo",NA
"61","0000-0001-7016-0438","Baik, Yeonsoo",NA
"62","0000-0002-9716-7936","Baker, Kellan E.",NA
"63","0000-0003-0417-641X","Bakker, Arnold",NA
"64","27","Ball, W.B.",NA
"65","28","Ball, William P.",NA
"66","29","Ball, William P.",NA
"67","30","Ball, William P.",NA
"68","31","Ball, William P.",NA
"69","0000-0001-5217-8108","Ball, William P.",NA
"70","32","Ballantyne, Christie M.",NA
"71","0000-0002-3053-1115","Ballou, Sydney",NA
"72","33","Baltimore Police Department",NA
"73","34","Banda, Benjamin",NA
"74","35","Barbera-Lainez, Yolanda",NA
"75","36","Bard, Jennifer Dien",NA
"76","0000-0003-0800-0825","Barman, Ishan",NA
"77","37","Barman, Ishan",NA
"78","38","Barranta, Caelan",NA
"79","39","Barrett, Brandon",NA
"80","40","Barrett, Brandon",NA
"81","0000-0002-5034-1300","Barth, Erika",NA
"82","0000-0001-6079-0997","Bastian, Amy J.",NA
"83","41","Bastian, Amy J.",NA
"84","0000-0001-6079-0997","Bastian, Amy J.",NA
"85","42","Basyal, Pragyashree S.",NA
"86","43","Baya, Banza",NA
"87","0000-0003-0787-4520","Beauchene, Christine",NA
"88","0000-0003-0787-4520","Beauchene, Christine",NA
"89","0000-0001-8587-2729","Beaudry, Patrick",NA
"90","0000-0003-0102-9713","Becker, Naomi A.",NA
"91","0000-0001-9955-3809","Beer, Michael A.",NA
"92","0000-0003-1667-3181","Beltran-Villegas, Daniel J.",NA
"93","44","Bergaoui, Karim",NA
"94","45","Berhane, Leah",NA
"95","46","Bersoff-Matcha, Susan J.",NA
"96","0000-0002-3502-9378","Besar, Kalpana",NA
"97","0000-0002-9368-4899","Bevan, Michael A.",NA
"98","0000-0002-9368-4899","Bevan, Michael A.",NA
"99","0000-0002-9368-4899","Bevan, Michael A.",NA
"100","0000-0002-9368-4899","Bevan, Michael A.",NA
"101","0000-0001-8044-2906","Bibic, Adnan",NA
"102","0000-0002-1913-0353","Bindlish, Rajat",NA
"103","0000-0002-1913-0353","Bindlish, Rajat",NA
"104","0000-0003-4141-4034","Biswas, Debojyoti",NA
"105","0000-0003-4141-4034","Biswas, Debojyoti",NA
"106","0000-0001-9926-7984","Black, Robert E.",NA
"107","0000-0001-9926-7984","Black, Robert E.",NA
"108","47","Blair-Stanek, Andrew",NA
"109","0000-0001-8547-9417","Blair-Stanek, Andrew",NA
"110","48","Bond, John E.",NA
"111","49","Book, Christopher",NA
"112","50","Bose, Vivek",NA
"113","51","Bosley, Laura",NA
"114","52","Boulay, Marc",NA
"115","53","Bouwer, Edward J.",NA
"116","0000-0003-0075-5406","Brady, Eoghan",NA
"117","0000-0002-3376-5494","Bragg, Arthur E.",NA
"118","0000-0002-3376-5494","Bragg, Arthur E.",NA
"119","0000-0002-3376-5494","Bragg, Arthur E.",NA
"120","0000-0002-3376-5494","Bragg, Arthur E.",NA
"121","0000-0002-1120-1778","Brbić, Maria",NA
"122","0000-0003-1327-5372","Breault, Macauley S.",NA
"123","54","Bregstone, Jonah",NA
"124","0000-0003-2562-5683","Brenner, Dana",NA
"125","0000-0003-2562-5683","Brenner, Dana C.",NA
"126","0000-0003-2562-5683","Brenner, Dana C.",NA
"127","55","Brittingham, Sarah",NA
"128","56","Brooks, Bernard R.",NA
"129","0000-0001-8892-9567","Brovarone, Alberto Vitale",NA
"130","0009-0001-3109-0796","Browning-Hanson, Joseph F.",NA
"131","57","Bryce,  Jennifer",NA
"132","58","Bryce, Jennifer",NA
"133","0000-0002-9953-7347","Bu, Fanjun",NA
"134","59","Buda, A.R.",NA
"135","0000-0002-7034-4621","Budavari, Tamas",NA
"136","0000-0003-4381-8673","Budde, Ryan B.",NA
"137","0000-0002-9616-1946","Budoff, Matthew J.",NA
"138","60","Burd, Irina",NA
"139","0000-0002-2006-332X","Burdick, Jason A.",NA
"140","61","Calhoun, Georgia",NA
"141","0000-0002-6179-2692","Camden, Jon P.",NA
"142","62","Cao, Di",NA
"143","0000-0002-2249-3067","Carlton, Hayden",NA
"144","63","Carter, Anabel W.",NA
"145","64","Cebotaru, Valeriu",NA
"146","65","Ceci, Doug",NA
"147","66","Center for Human Nutrition",NA
"148","67","Center for Human Nutrition",NA
"149","68","Chai, Ching Sing",NA
"150","69","Chang, Chia-Jung",NA
"151","70","Chang, Hsien-Yen",NA
"152","71","Chao, Chia-Yu",NA
"153","0000-0003-3236-3853","Chen, Ada Y.",NA
"154","72","Chen, Chih-Ting",NA
"155","73","Chen, Kuan-Fu",NA
"156","74","Chen, Kuan-Lin",NA
"157","75","Chen, Kuan-Lin",NA
"158","76","Chen, Lidong",NA
"159","77","Chen, Nan",NA
"160","78","Chen, Nan",NA
"161","79","Chen, Nan",NA
"162","80","Chen, Nan L.",NA
"163","81","Chen, Yanling",NA
"164","82","Cheng, Bingquing",NA
"165","83","Cheng, Yan",NA
"166","84","Chernenok, Mariya",NA
"167","85","Chessare, Caroline M.",NA
"168","86","Chessare, Caroline M.",NA
"169","87","Chessare, Caroline M. ",NA
"170","88","Cheung, Alan C. K.",NA
"171","0000-0002-9013-1586","Cheung, Alan Chi-keung",NA
"172","89","Chi, Chen",NA
"173","90","Chi, Chen",NA
"174","0000-0001-8810-5699","Chib, Vikram S.",NA
"175","91","Chintan Environmental Research and Action Group",NA
"176","0000-0002-7009-4984","Chiu, Arlene",NA
"177","0000-0002-7009-4984","Chiu, Arlene",NA
"178","0000-0002-7009-4984","Chiu, Arlene",NA
"179","0000-0002-7009-4984","Chiu, Arlene",NA
