"","ds_id","auth_id","timestamp"
"1","doi:10.7281/T1/IRMGH8","1",2024-02-28 12:19:18
"2","doi:10.7281/T1/D3EV75","2",2022-05-24 12:27:31
"3","doi:10.7281/T1/5UEIRG","3",2022-05-24 12:26:25
"4","doi:10.7281/T1/8VU7A2","4",2023-05-09 12:24:18
"5","doi:10.7281/T1/9VJGPI","0000-0002-6954-5776",2023-09-05 16:08:55
"6","doi:10.7281/T1/YC5BS6","5",2023-10-18 17:06:58
"7","doi:10.7281/T1/IM9BZI","0000-0002-5142-0326",2024-04-22 18:43:06
"8","doi:10.7281/T1/KOTDPY","0000-0002-9789-3137",2024-08-30 14:03:32
"9","doi:10.7281/T1/EQKCFP","0000-0001-8824-8809",2023-10-20 13:46:16
"10","doi:10.7281/T1/RDLYMJ","0000-0001-8824-8809",2024-09-13 19:49:27
"11","doi:10.7281/T1/NTWJAR","6",2024-02-23 20:28:34
"12","doi:10.7281/T1/IFSXNV","7",2020-10-15 12:47:22
"13","doi:10.7281/T1/C304HZ","8",2022-03-30 19:24:13
"14","doi:10.7281/T1/CCC69H","0000-0003-0044-1992",2021-03-23 16:40:40
"15","doi:10.7281/T1/AVOEQR","0000-0003-0519-7036",2023-10-12 07:54:20
"16","doi:10.7281/T1/SP6KO3","0000-0002-0656-7898",2017-11-22 19:46:20
"17","doi:10.7281/T19G5JRC","0000-0002-6262-3866",2015-10-22
"18","doi:10.7281/T1F769G3","0000-0002-6262-3866",2023-03-16 15:12:56
"19","doi:10.7281/T1/UZIT7C","0000-0003-2175-3709",2023-12-05 19:53:32
"20","doi:10.7281/T1/SWNGEP","9",2021-05-07 14:09:25
"21","doi:10.7281/T1/UDTJPD","10",2020-02-20 18:10:12
"22","doi:10.7281/T15Q4T12","0000-0002-1235-5373",2015-08-25
"23","doi:10.7281/T1/PXEROL","11",2022-03-02 18:29:27
"24","doi:10.7281/T1/DX9DL8","12",2018-11-12 18:48:14
"25","doi:10.7281/T1/0HWVS1","13",2024-06-28 14:02:28
"26","doi:10.7281/T1F769G3","14",2023-03-16 15:12:56
"27","doi:10.7281/T1/2PGJQU","0000-0003-1028-8303",2023-03-08 20:14:56
"28","doi:10.7281/T1/IFSXNV","15",2020-10-15 12:47:22
"29","doi:10.7281/T1/C304HZ","0000-0003-1028-8303",2022-03-30 19:24:13
"30","doi:10.7281/T1/LQMJJM","16",2023-01-30 20:24:14
"31","doi:10.7281/T1RF5RZ7","0000-0001-7568-2059",2016-08-02
"32","doi:10.7281/T1/7VKY8K","17",2018-06-04 19:57:46
"33","doi:10.7281/T1/K08BJZ","18",2022-09-06 17:25:29
"34","doi:10.7281/T1/NL3HTW","19",2023-05-16 18:53:51
"35","doi:10.7281/T1/HW66X3","0000-0002-2740-6276",2024-02-13 18:07:50
"36","doi:10.7281/T1/I0H3GY","0000-0002-2740-6276",2023-07-21 20:11:46
