"","auth_id","pub_id"
"1","1",171
"2","2",73
"3","3",72
"4","4",71
"5","0000-0002-6954-5776",41
"6","5",85
"7","0000-0002-5142-0326",114
"8","0000-0002-9789-3137",1
"9","0000-0001-8824-8809",205
"10","0000-0001-8824-8809",205
"11","0000-0001-8824-8809",210
"12","0000-0001-8824-8809",210
"13","6",59
"14","7",64
"15","8",63
"16","0000-0003-0044-1992",80
"17","0000-0003-0519-7036",6
"18","0000-0002-0656-7898",192
"19","0000-0002-6262-3866",127
"20","0000-0002-6262-3866",127
"21","0000-0002-6262-3866",2
"22","0000-0002-6262-3866",2
"23","0000-0003-2175-3709",74
"24","9",129
"25","10",190
"26","0000-0002-1235-5373",7
"27","11",120
"28","12",18
"29","13",22
"30","14",2
"31","0000-0003-1028-8303",58
"32","0000-0003-1028-8303",58
"33","15",64
"34","0000-0003-1028-8303",63
"35","0000-0003-1028-8303",63
"36","16",157
"37","0000-0001-7568-2059",211
"38","17",146
"39","18",NA
"40","19",8
"41","0000-0002-2740-6276",212
"42","0000-0002-2740-6276",212
"43","0000-0002-2740-6276",212
"44","0000-0002-2740-6276",212
"45","0000-0002-2740-6276",212
"46","0000-0002-2740-6276",164
"47","0000-0002-2740-6276",164
"48","0000-0002-2740-6276",164
"49","0000-0002-2740-6276",164
"50","0000-0002-2740-6276",164
"51","0000-0002-2740-6276",138
"52","0000-0002-2740-6276",138
"53","0000-0002-2740-6276",138
"54","0000-0002-2740-6276",138
"55","0000-0002-2740-6276",138
"56","0000-0002-2740-6276",32
"57","0000-0002-2740-6276",32
"58","0000-0002-2740-6276",32
"59","0000-0002-2740-6276",32
"60","0000-0002-2740-6276",32
"61","0000-0002-2740-6276",183
"62","0000-0002-2740-6276",183
"63","0000-0002-2740-6276",183
"64","0000-0002-2740-6276",183
"65","0000-0002-2740-6276",183
"66","20",228
"67","0000-0002-6830-6271",NA
"68","0000-0002-6830-6271",NA
"69","0000-0002-6830-6271",131
"70","0000-0002-6830-6271",131
"71","0000-0003-0283-1927",22
"72","21",31
"73","22",9
"74","23",28
"75","24",181
"76","25",130
"77","26",9
"78","0000-0001-6292-7790",119
"79","0000-0002-9808-2344",92
"80","0000-0003-3174-1613",173
"81","0000-0002-8575-2679",11
"82","0000-0002-8575-2679",11
"83","0000-0002-8575-2679",10
"84","0000-0002-8575-2679",10
"85","0000-0001-7016-0438",96
"86","0000-0001-7016-0438",96
"87","0000-0001-7016-0438",96
"88","0000-0001-7016-0438",12
"89","0000-0001-7016-0438",12
"90","0000-0001-7016-0438",12
"91","0000-0001-7016-0438",150
"92","0000-0001-7016-0438",150
"93","0000-0001-7016-0438",150
"94","0000-0002-9716-7936",13
"95","0000-0003-0417-641X",116
"96","27",207
"97","28",226
"98","29",227
"99","30",42
"100","31",222
"101","0000-0001-5217-8108",206
"102","32",44
"103","0000-0002-3053-1115",41
"104","33",123
"105","34",127
"106","35",126
"107","36",210
"108","0000-0003-0800-0825",189
"109","37",178
"110","38",171
"111","39",224
"112","40",225
"113","0000-0002-5034-1300",74
"114","0000-0001-6079-0997",7
"115","0000-0001-6079-0997",7
"116","41",230
"117","0000-0001-6079-0997",229
"118","0000-0001-6079-0997",229
"119","42",4
"120","43",127
"121","0000-0003-0787-4520",14
"122","0000-0003-0787-4520",14
"123","0000-0003-0787-4520",15
"124","0000-0003-0787-4520",15
"125","0000-0001-8587-2729",16
"126","0000-0003-0102-9713",17
"127","0000-0001-9955-3809",55
"128","0000-0003-1667-3181",179
"129","44",131
"130","45",171
"131","46",171
"132","0000-0002-3502-9378",79
"133","0000-0002-9368-4899",50
"134","0000-0002-9368-4899",50
"135","0000-0002-9368-4899",50
"136","0000-0002-9368-4899",50
"137","0000-0002-9368-4899",179
"138","0000-0002-9368-4899",179
"139","0000-0002-9368-4899",179
"140","0000-0002-9368-4899",179
"141","0000-0002-9368-4899",169
"142","0000-0002-9368-4899",169
"143","0000-0002-9368-4899",169
"144","0000-0002-9368-4899",169
"145","0000-0002-9368-4899",82
"146","0000-0002-9368-4899",82
"147","0000-0002-9368-4899",82
"148","0000-0002-9368-4899",82
"149","0000-0001-8044-2906",201
"150","0000-0002-1913-0353",NA
"151","0000-0002-1913-0353",NA
"152","0000-0002-1913-0353",132
"153","0000-0002-1913-0353",132
"154","0000-0003-4141-4034",18
"155","0000-0003-4141-4034",18
"156","0000-0003-4141-4034",19
"157","0000-0003-4141-4034",19
"158","0000-0001-9926-7984",127
"159","0000-0001-9926-7984",127
"160","0000-0001-9926-7984",2
"161","0000-0001-9926-7984",2
"162","47",76
"163","0000-0001-8547-9417",191
"164","48",82
"165","49",113
"166","50",49
"167","51",33
"168","52",9
"169","53",29
"170","0000-0003-0075-5406",2
"171","0000-0002-3376-5494",213
"172","0000-0002-3376-5494",213
"173","0000-0002-3376-5494",213
"174","0000-0002-3376-5494",213
"175","0000-0002-3376-5494",224
"176","0000-0002-3376-5494",224
"177","0000-0002-3376-5494",224
"178","0000-0002-3376-5494",224
"179","0000-0002-3376-5494",225
"180","0000-0002-3376-5494",225
"181","0000-0002-3376-5494",225
"182","0000-0002-3376-5494",225
"183","0000-0002-3376-5494",27
"184","0000-0002-3376-5494",27
"185","0000-0002-3376-5494",27
"186","0000-0002-3376-5494",27
"187","0000-0002-1120-1778",41
"188","0000-0003-1327-5372",20
"189","54",90
"190","0000-0003-2562-5683",94
"191","0000-0003-2562-5683",94
"192","0000-0003-2562-5683",94
"193","0000-0003-2562-5683",40
"194","0000-0003-2562-5683",40
"195","0000-0003-2562-5683",40
"196","0000-0003-2562-5683",75
"197","0000-0003-2562-5683",75
"198","0000-0003-2562-5683",75
"199","55",129
"200","56",5
"201","0000-0001-8892-9567",78
"202","0009-0001-3109-0796",17
"203","57",2
"204","58",127
"205","0000-0002-9953-7347",54
"206","59",207
"207","0000-0002-7034-4621",55
"208","0000-0003-4381-8673",21
"209","0000-0002-9616-1946",174
"210","60",171
"211","0000-0002-2006-332X",49
"212","61",57
"213","0000-0002-6179-2692",138
"214","62",230
"215","0000-0002-2249-3067",22
"216","63",23
"217","64",93
"218","65",48
"219","66",NA
"220","67",NA
"221","68",198
"222","69",85
"223","70",135
"224","71",105
"225","0000-0003-3236-3853",5
"226","72",57
"227","73",105
"228","74",155
"229","75",115
"230","76",103
"231","77",72
"232","78",25
"233","79",166
"234","80",24
"235","81",103
"236","82",211
"237","83",213
"238","84",33
"239","85",187
"240","86",184
"241","87",185
"242","88",198
"243","0000-0002-9013-1586",26
"244","89",225
"245","90",27
"246","0000-0001-8810-5699",116
"247","91",108
"248","0000-0002-7009-4984",83
"249","0000-0002-7009-4984",83
"250","0000-0002-7009-4984",83
"251","0000-0002-7009-4984",83
"252","0000-0002-7009-4984",73
"253","0000-0002-7009-4984",73
"254","0000-0002-7009-4984",73
"255","0000-0002-7009-4984",73
"256","0000-0002-7009-4984",72
"257","0000-0002-7009-4984",72
"258","0000-0002-7009-4984",72
"259","0000-0002-7009-4984",72
"260","0000-0002-7009-4984",71
"261","0000-0002-7009-4984",71
"262","0000-0002-7009-4984",71
"263","0000-0002-7009-4984",71
"264","92",190
"265","93",145
"266","0000-0002-4335-0903",28
"267","0000-0001-5135-4747",29
"268","0000-0003-1058-7370",31
"269","0000-0003-1058-7370",31
"270","0000-0003-1058-7370",31
"271","0000-0003-1058-7370",31
"272","0000-0001-6801-8010",192
"273","94",181
"274","95",130
"275","0000-0002-0468-6420",124
"276","0000-0002-0468-6420",124
"277","0000-0002-0468-6420",124
"278","0000-0002-0468-6420",124
"279","0000-0002-0468-6420",124
"280","0000-0002-0468-6420",124
"281","0000-0002-0468-6420",124
"282","0000-0002-0468-6420",83
"283","0000-0002-0468-6420",83
"284","0000-0002-0468-6420",83
"285","0000-0002-0468-6420",83
"286","0000-0002-0468-6420",83
"287","0000-0002-0468-6420",83
"288","0000-0002-0468-6420",83
"289","0000-0002-0468-6420",70
"290","0000-0002-0468-6420",70
"291","0000-0002-0468-6420",70
"292","0000-0002-0468-6420",70
"293","0000-0002-0468-6420",70
"294","0000-0002-0468-6420",70
"295","0000-0002-0468-6420",70
"296","0000-0002-0468-6420",189
"297","0000-0002-0468-6420",189
"298","0000-0002-0468-6420",189
"299","0000-0002-0468-6420",189
"300","0000-0002-0468-6420",189
"301","0000-0002-0468-6420",189
"302","0000-0002-0468-6420",189
"303","0000-0002-0468-6420",71
"304","0000-0002-0468-6420",71
"305","0000-0002-0468-6420",71
"306","0000-0002-0468-6420",71
"307","0000-0002-0468-6420",71
"308","0000-0002-0468-6420",71
"309","0000-0002-0468-6420",71
"310","0000-0001-9707-8004",32
"311","0000-0001-9707-8004",32
"312","0000-0001-9707-8004",183
"313","0000-0001-9707-8004",183
"314","0000-0002-9278-0854",143
"315","96",33
"316","0000-0002-5194-3055",184
"317","0000-0002-5194-3055",184
"318","0000-0002-5194-3055",185
"319","0000-0002-5194-3055",185
"320","97",34
"321","0000-0002-4859-1298",35
"322","98",93
"323","0000-0001-7111-2489",94
"324","0000-0003-1431-9832",113
"325","0000-0003-1431-9832",113
"326","0000-0003-1431-9832",36
"327","0000-0003-1431-9832",36
"328","0000-0001-9121-532X",37
"329","0000-0003-1469-8879",14
"330","0000-0003-1469-8879",14
"331","0000-0003-1469-8879",15
"332","0000-0003-1469-8879",15
"333","0000-0003-2502-3770",7
"334","0000-0003-2502-3770",7
"335","0000-0003-2502-3770",7
"336","0000-0003-2502-3770",7
"337","0000-0003-2502-3770",7
"338","0000-0003-2502-3770",7
"339","0000-0003-2502-3770",7
"340","0000-0003-2502-3770",7
"341","0000-0003-2502-3770",7
"342","0000-0003-2502-3770",7
"343","0000-0003-2502-3770",7
"344","0000-0003-2502-3770",7
"345","0000-0003-2502-3770",7
"346","0000-0003-2502-3770",7
"347","0000-0003-2502-3770",7
"348","0000-0003-2502-3770",175
"349","0000-0003-2502-3770",175
"350","0000-0003-2502-3770",175
"351","0000-0003-2502-3770",175
"352","0000-0003-2502-3770",175
"353","0000-0003-2502-3770",175
"354","0000-0003-2502-3770",175
"355","0000-0003-2502-3770",175
"356","0000-0003-2502-3770",175
"357","0000-0003-2502-3770",175
"358","0000-0003-2502-3770",175
"359","0000-0003-2502-3770",175
"360","0000-0003-2502-3770",175
"361","0000-0003-2502-3770",175
"362","0000-0003-2502-3770",175
"363","0000-0003-2502-3770",53
"364","0000-0003-2502-3770",53
"365","0000-0003-2502-3770",53
"366","0000-0003-2502-3770",53
"367","0000-0003-2502-3770",53
"368","0000-0003-2502-3770",53
"369","0000-0003-2502-3770",53
"370","0000-0003-2502-3770",53
"371","0000-0003-2502-3770",53
"372","0000-0003-2502-3770",53
"373","0000-0003-2502-3770",53
"374","0000-0003-2502-3770",53
"375","0000-0003-2502-3770",53
"376","0000-0003-2502-3770",53
"377","0000-0003-2502-3770",53
"378","0000-0003-2502-3770",214
"379","0000-0003-2502-3770",214
"380","0000-0003-2502-3770",214
"381","0000-0003-2502-3770",214
"382","0000-0003-2502-3770",214
"383","0000-0003-2502-3770",214
"384","0000-0003-2502-3770",214
"385","0000-0003-2502-3770",214
"386","0000-0003-2502-3770",214
"387","0000-0003-2502-3770",214
"388","0000-0003-2502-3770",214
"389","0000-0003-2502-3770",214
"390","0000-0003-2502-3770",214
"391","0000-0003-2502-3770",214
"392","0000-0003-2502-3770",214
"393","0000-0003-2502-3770",NA
"394","0000-0003-2502-3770",NA
"395","0000-0003-2502-3770",NA
"396","0000-0003-2502-3770",NA
"397","0000-0003-2502-3770",NA
"398","0000-0003-2502-3770",NA
"399","0000-0003-2502-3770",NA
"400","0000-0003-2502-3770",NA
"401","0000-0003-2502-3770",NA
"402","0000-0003-2502-3770",NA
"403","0000-0003-2502-3770",NA
"404","0000-0003-2502-3770",NA
"405","0000-0003-2502-3770",NA
"406","0000-0003-2502-3770",NA
"407","0000-0003-2502-3770",NA
"408","0000-0003-2502-3770",81
"409","0000-0003-2502-3770",81
"410","0000-0003-2502-3770",81
"411","0000-0003-2502-3770",81
"412","0000-0003-2502-3770",81
"413","0000-0003-2502-3770",81
"414","0000-0003-2502-3770",81
"415","0000-0003-2502-3770",81
"416","0000-0003-2502-3770",81
"417","0000-0003-2502-3770",81
"418","0000-0003-2502-3770",81
"419","0000-0003-2502-3770",81
"420","0000-0003-2502-3770",81
"421","0000-0003-2502-3770",81
"422","0000-0003-2502-3770",81
"423","0000-0003-2502-3770",230
"424","0000-0003-2502-3770",230
"425","0000-0003-2502-3770",230
"426","0000-0003-2502-3770",230
"427","0000-0003-2502-3770",230
"428","0000-0003-2502-3770",230
"429","0000-0003-2502-3770",230
"430","0000-0003-2502-3770",230
"431","0000-0003-2502-3770",230
"432","0000-0003-2502-3770",230
"433","0000-0003-2502-3770",230
"434","0000-0003-2502-3770",230
"435","0000-0003-2502-3770",230
"436","0000-0003-2502-3770",230
"437","0000-0003-2502-3770",230
"438","0000-0003-2502-3770",190
"439","0000-0003-2502-3770",190
"440","0000-0003-2502-3770",190
"441","0000-0003-2502-3770",190
"442","0000-0003-2502-3770",190
"443","0000-0003-2502-3770",190
"444","0000-0003-2502-3770",190
"445","0000-0003-2502-3770",190
"446","0000-0003-2502-3770",190
"447","0000-0003-2502-3770",190
"448","0000-0003-2502-3770",190
"449","0000-0003-2502-3770",190
"450","0000-0003-2502-3770",190
"451","0000-0003-2502-3770",190
"452","0000-0003-2502-3770",190
"453","0000-0003-2502-3770",229
"454","0000-0003-2502-3770",229
"455","0000-0003-2502-3770",229
"456","0000-0003-2502-3770",229
"457","0000-0003-2502-3770",229
"458","0000-0003-2502-3770",229
"459","0000-0003-2502-3770",229
"460","0000-0003-2502-3770",229
"461","0000-0003-2502-3770",229
"462","0000-0003-2502-3770",229
"463","0000-0003-2502-3770",229
"464","0000-0003-2502-3770",229
"465","0000-0003-2502-3770",229
"466","0000-0003-2502-3770",229
"467","0000-0003-2502-3770",229
"468","0000-0003-2502-3770",109
"469","0000-0003-2502-3770",109
"470","0000-0003-2502-3770",109
"471","0000-0003-2502-3770",109
"472","0000-0003-2502-3770",109
"473","0000-0003-2502-3770",109
"474","0000-0003-2502-3770",109
"475","0000-0003-2502-3770",109
"476","0000-0003-2502-3770",109
"477","0000-0003-2502-3770",109
"478","0000-0003-2502-3770",109
"479","0000-0003-2502-3770",109
"480","0000-0003-2502-3770",109
"481","0000-0003-2502-3770",109
"482","0000-0003-2502-3770",109
"483","0000-0003-2502-3770",18
"484","0000-0003-2502-3770",18
"485","0000-0003-2502-3770",18
"486","0000-0003-2502-3770",18
"487","0000-0003-2502-3770",18
"488","0000-0003-2502-3770",18
"489","0000-0003-2502-3770",18
"490","0000-0003-2502-3770",18
"491","0000-0003-2502-3770",18
"492","0000-0003-2502-3770",18
"493","0000-0003-2502-3770",18
"494","0000-0003-2502-3770",18
"495","0000-0003-2502-3770",18
"496","0000-0003-2502-3770",18
"497","0000-0003-2502-3770",18
"498","0000-0003-2502-3770",19
"499","0000-0003-2502-3770",19
"500","0000-0003-2502-3770",19
"501","0000-0003-2502-3770",19
"502","0000-0003-2502-3770",19
"503","0000-0003-2502-3770",19
"504","0000-0003-2502-3770",19
"505","0000-0003-2502-3770",19
"506","0000-0003-2502-3770",19
"507","0000-0003-2502-3770",19
"508","0000-0003-2502-3770",19
"509","0000-0003-2502-3770",19
"510","0000-0003-2502-3770",19
"511","0000-0003-2502-3770",19
"512","0000-0003-2502-3770",19
"513","0000-0003-2502-3770",216
"514","0000-0003-2502-3770",216
"515","0000-0003-2502-3770",216
"516","0000-0003-2502-3770",216
"517","0000-0003-2502-3770",216
"518","0000-0003-2502-3770",216
"519","0000-0003-2502-3770",216
"520","0000-0003-2502-3770",216
"521","0000-0003-2502-3770",216
"522","0000-0003-2502-3770",216
"523","0000-0003-2502-3770",216
"524","0000-0003-2502-3770",216
"525","0000-0003-2502-3770",216
"526","0000-0003-2502-3770",216
"527","0000-0003-2502-3770",216
"528","0000-0003-2502-3770",115
"529","0000-0003-2502-3770",115
"530","0000-0003-2502-3770",115
"531","0000-0003-2502-3770",115
"532","0000-0003-2502-3770",115
"533","0000-0003-2502-3770",115
"534","0000-0003-2502-3770",115
"535","0000-0003-2502-3770",115
"536","0000-0003-2502-3770",115
"537","0000-0003-2502-3770",115
"538","0000-0003-2502-3770",115
"539","0000-0003-2502-3770",115
"540","0000-0003-2502-3770",115
"541","0000-0003-2502-3770",115
"542","0000-0003-2502-3770",115
"543","0000-0003-2502-3770",110
"544","0000-0003-2502-3770",110
"545","0000-0003-2502-3770",110
"546","0000-0003-2502-3770",110
"547","0000-0003-2502-3770",110
"548","0000-0003-2502-3770",110
"549","0000-0003-2502-3770",110
"550","0000-0003-2502-3770",110
"551","0000-0003-2502-3770",110
"552","0000-0003-2502-3770",110
"553","0000-0003-2502-3770",110
"554","0000-0003-2502-3770",110
"555","0000-0003-2502-3770",110
"556","0000-0003-2502-3770",110
"557","0000-0003-2502-3770",110
"558","99",171
"559","100",17
"560","0000-0002-8985-0372",39
"561","0000-0002-9348-0933",20
"562","0000-0001-8739-2542",169
"563","0000-0001-8739-2542",169
"564","0000-0001-8739-2542",169
"565","0000-0001-8739-2542",169
"566","101",79
"567","102",181
"568","103",130
"569","0000-0001-7635-2705",154
"570","0000-0001-7635-2705",154
"571","0000-0001-7635-2705",5
"572","0000-0001-7635-2705",5
"573","0000-0002-1448-7919",78
"574","0000-0002-1139-9235",213
"575","0000-0002-1139-9235",213
"576","104",103
"577","0000-0002-1139-9235",102
"578","0000-0002-1139-9235",102
"579","105",127
"580","0000-0002-0509-5200",28
"581","106",43
"582","107",175
"583","108",109
"584","0000-0003-3111-8629",115
"585","0000-0002-4494-8608",171
"586","109",47
"587","110",46
"588","111",45
"589","112",112
"590","113",106
"591","114",93
"592","0000-0002-4584-4819",89
"593","0000-0002-0439-9982",138
"594","115",181
"595","116",130
"596","117",182
"597","118",151
"598","0000-0003-0481-7475",96
"599","0000-0003-0481-7475",96
"600","0000-0003-0481-7475",96
"601","0000-0003-0481-7475",12
"602","0000-0003-0481-7475",12
"603","0000-0003-0481-7475",12
"604","0000-0003-0481-7475",NA
"605","0000-0003-0481-7475",NA
"606","0000-0003-0481-7475",NA
"607","119",150
"608","0000-0003-4393-0403",90
"609","0000-0001-6161-5525",154
"610","0000-0001-5933-6308",201
"611","0000-0001-5973-0524",192
"612","0000-0002-8685-0027",13
"613","120",29
"614","121",205
"615","122",176
"616","123",105
